seed	sentence	label
owner	A few hours ago the owner of most of Russia's independent television, Mr Vladimir Gusinsky, was arrested in Spain.	unambiguous_male
Commissioner	I want to ask the Commissioner if she will confirm that she will thank the Commission in Brussels, and in particular Michael Graham, the head of the delegation herself, who throughout this time has gone through enormous change and have actually wrought a major difference in the process of moving towards democracy.	unambiguous_female
deputy	Although the deputy attended the meeting of the Committee on Budgets yesterday, he failed to draw lessons from the credit transfers which were being discussed.	unambiguous_male
criminal	Pensioners are in favour of strengthening criminal law, European law especially, as well as national law, for I am afraid that crimes are no longer committed solely by our citizens but by people of other nationalities as well.	ambiguous
deputy	I thank the honourable deputy and friend for what she said about our delegate Michael Graham and her staff in Belgrade.	unambiguous_female
chairperson	Let me tell you that the committee chairperson has put no questions on this to the Commission.	ambiguous
delegate	There was a mistake in the original analysis, and that has been corrected now, but I would like the delegate, Mrs Morillon, to briefly comment on these two points.	unambiguous_female
Commissioner	I am sure that Mr Solbes, the Commissioner responsible for this matter, will come to the details and I will transmit your message next Wednesday.	unambiguous_male
deputy	I would like to conclude by thanking the deputy for her work and wish the Commission every success.	unambiguous_female
rapporteur	The tighter measures which the rapporteur announced in his report and which encompass, for example, an exhaustive list of products, for which he calls on the Commission for help, is an interesting proposal and will only reinforce this policy.	unambiguous_male
Commissioner	I am sorry that the Commissioner responsible for agriculture is not here and that she does not have the courage to face us and to explain that it is necessary to completely overhaul the common agricultural policy.	unambiguous_female
colleague	I know that my colleague Commissioner Lamy will want to pursue his thoughts and the Commission's latest thoughts on how to revive the WTO round with the United States and also with this Parliament.	unambiguous_male
draftsman	I would like to start by congratulating the draftsman of the opinion of the Committee on Employment and Social Affairs, Mrs Mantovani, on the substantial amendments she tabled to the Commission communication.	unambiguous_female
colleague	As my colleague Bill Newton-Dunn said, we have a number of colleagues in the UK who are indulging in fairly standard if facile anti-European scaremongering on this proposal and they have got a large number of sugarbeet farmers extremely worried.	ambiguous
judge	A part of the solution involves drastically curtailing the right to call in a judge in order to overturn a foreign court order.	ambiguous
Member	I do not share the reservations expressed by our honourable Member, the Chairman of the Delegation for Relations with the Countries of Central America and Mexico, Mrs Seguro, with regard to the issue of human rights.	unambiguous_female
President	The European Union must therefore support the initiatives by President Andrés Pastrana, aimed at achieving a negotiated peace between her government and the so-called National Liberation Army.	unambiguous_female
deputy	I would like to congratulate the deputy on her work even though I may not give full agreement or support to what has been proposed.	unambiguous_female
Minister	As a result, Morocco dispatched its Minister for Foreign Affairs and Cooperation to New York on 26 October to attend a private meeting with the Security Council after a similar meeting was held with the Secretary-General of the Polisario Front on 19 October.	ambiguous
judge	I have to report not only to the Court of Auditors and to the tax-payers, but also, first and foremost, to the European Parliament, which is responsible for budgetary control and for adopting this budget, and I believe that it is my duty and role to say what is happening, at such times as I judge fit, and to do so in a transparent manner, with respect for the budgetary authority of which the European Parliament forms part.	ambiguous
President	Mr President, I simply wished to inform the House that this very morning the Popular Party Councillor, Mr Francisco Cano, was murdered in the town of Villadecavalls, in the province of Barcelona.	unambiguous_male
President	I would ask the President-in-Office to at least answer our questions in writing if he cannot do so orally.	unambiguous_male
draftsperson	In my capacity as draftsperson of the Committee on Petitions, I should like to congratulate the rapporteur for the excellent report on the mobility of students, researchers and persons undergoing training.	ambiguous
leader	Naturally we welcome the fact that junta leader Gueï failed in her scheme to legitimise her power through sham elections.	unambiguous_female
Commissioner	The Commissioner spoke for 18 minutes and during this time she cited dozens and dozens of items and gave a breakdown of the position of the Commission.	unambiguous_female
President	I once again thank the President-in-Office of the Council for what she had to say and for the very great determination that she expressed.	unambiguous_female
rapporteur	My congratulations to Mr Ferber, the rapporteur for the other institutions with which we are most concerned.	unambiguous_male
colleague	Like my Fine Gael colleague, Mrs Doyle, I recognise that this does not represent the creation of a European army and before shrill voices are raised in my own country, which there will be, against Irish involvement, I would point out that participation is voluntary and on a case by case basis.	unambiguous_female
colleague	I believe the report by our colleague, Mrs Maij-Weggen, who in fact knows the situation well, satisfactorily addresses these aspects and therefore deserves our full approval.	unambiguous_female
Commissioner	Finally, I would like to commend the Commissioner, Mr Byrne, for his efforts in trying to secure an agreement on how best to move forward on regulating a vast structure for e-commerce transactions now and for the future.	unambiguous_male
colleague	I agree with all of you who have said that we need more regional fisheries organisations and I agree with our colleague and other speakers that the Commission has a role to play in these regional fisheries organisations.	ambiguous
Member	Since the honourable Member said he would vote against, this amendment is repealed.	unambiguous_male
deputy	I believe that the deputy is right when she calls for greater participation to defeat poverty and social exclusion at this time.	unambiguous_female
President	Mr President, I would like to thank the Commissioner for his input in this debate and for his sound plans.	unambiguous_male
President	Madam President, let me begin by warmly congratulating the rapporteur, Mrs Bowis, and let me also inform the Commissioner, David Byrne, that we appreciate the proposals she has put before us in this White Paper and the relations she has established with Parliament with a view to preparing the best possible legislation in the field of food safety for the future.	unambiguous_female
representative	The representative, Mrs Gill, has succeeded in bringing together the different opinions in a balanced manner, with an important contribution from Mrs Fraisse and the Committee on Culture, Youth, Education, the Media and Sport.	unambiguous_female
rapporteur	The tighter measures which the rapporteur announced in her report and which encompass, for example, an exhaustive list of products, for which she calls on the Commission for help, is an interesting proposal and will only reinforce this policy.	unambiguous_female
Commissioner	This time I will give the Commissioner a chance not to read out the previous answer but ask him for an undertaking and an agreement.	unambiguous_male
winner	I believe you should send Mrs Laurent Gbagbo, the winner of the elections, a message of solidarity and support from the European Parliament.	unambiguous_female
Commissioner	I should like to thank the Commissioner for attempting to answer my question, but I should point out that students in Greece are currently somewhat confused because the free study centres are claiming that they are able to issue study diplomas which qualify for recognition under Directive 89 / 48 / EEC, if, and provided that, the course in question is completed in Britain, while the Greek authorities and the competent bodies are refusing to recognise diplomas issued for courses completed in Britain.	ambiguous
spokesperson	I acknowledge the work carried out on this text by Mr Cerdeira Morterero, your spokesperson.	unambiguous_male
colleague	Late at night, when we have to be clear, even blunt and when my esteemed colleague, Mrs Sauquillo Pérez del Arco, has had to use the instrument of an own-initiative report to ensure parliamentary accountability, the Commission should listen when the European Parliament says "no".	unambiguous_female
spokesperson	That is why, in agreement with the other institutions, Mrs Lienemann, our spokesperson, has proposed slightly increasing the budget to EUR 14 million in order to promote cooperation in this area between 2001 and 2004.	unambiguous_female
Secretary	The Secretary-General of the league, Khemaïs Ksila, who has already spent two years in prison, has been sentenced to a heavy fine which he cannot afford to pay and therefore risks another spell in prison.	unambiguous_male
General	The Chilean Government guaranteed that in Chile General Pinochet would have a fair trial and General Pinochet has indeed now lost his immunity and the justice system is initiating proceedings against him.	unambiguous_male
refugee	What makes it so difficult for the UNHCR is that whilst the number of refugees is rising, the resources required by the UN refugee organisation to coordinate the aid are falling.	ambiguous
Commissioner	I trust the Commissioner will promise that he will exercise extra vigilance.	unambiguous_male
colleague	I regret that mine will be a somewhat discordant voice in this House tonight, save for that of my colleague, Mrs Boumediene-Thiery.	unambiguous_female
colleague	I would like to address our colleague and thank her very warmly for the excellent report, which addresses a number of extremely complex issues.	unambiguous_female
Ambassador	I know that our Ambassador in Washington, Gunter Burghardt, has already spoken about this, and I should be delighted if her interesting proposals were actually incorporated into the communication.	unambiguous_female
citizen	All investigations have, of course, revealed the distance between the European citizen and Brussels, and people themselves think they know too little about the EU.	ambiguous
President	Madam President, allow me to start by congratulating our spokesperson, Mrs Marinho.	unambiguous_female
feminist	Obviously not, and as someone involved with associations for social change, because I too, like many of you, have some thirty years of involvement with these associations behind me, I know how hard the social movement, the feminist movement and the intellectual movement, naturally, have worked to move this issue forward, and today we take our places in roles of responsibility in our institutions.	ambiguous
President	Mr President, I wish to begin by congratulating my colleague, Mr Langen, on his excellent report which, as he says, was carried through the Committee on Industry, External Trade, Research and Energy, unanimously.	unambiguous_male
Minister	I would like the Minister to comment on this point, if he can.	unambiguous_male
rapporteur	It is only right to highlight the efforts that the general rapporteur, Mrs Haug, has made in seeking an intelligent consensus, which I hope will not be frustrated.	unambiguous_female
rapporteur	The rapporteur, Mrs Maaten, has, with good reason, proposed reinforcing that legal basis with a reference to another article, Article 133 on external trade, and furthermore has proposed a series of amendments to some of the articles with the aim of preventing this directive being challenged on the basis of the case-law established by the judgment of the Court of Justice.	unambiguous_female
Commissioner	The Commissioner herself referred to this genocide as if it were something forgotten.	unambiguous_female
friend	Like my very good friend Mr Langenhagen I trust that the European Commission will review this issue before May next year.	unambiguous_male
President	The President of the Commission herself has repeatedly assured us that transparency in the administration of European affairs is an absolute priority.	unambiguous_female
Commissioner	Commissioner Byrne, we are highly satisfied.	ambiguous
Commissioner	First of all I would like to send my best regards to Commissioner Viviane Reding and thank him for the initiative he has shown in the field of sport.	unambiguous_male
President	I have to say, even, that to my eyes, Mr President, you resemble a chief physician, with a white coat, stethoscope and hammer to test reflexes.	unambiguous_male
Chief	Chief Minister Peter Caruana has wisely asked us to report directly to her.	unambiguous_female
President	Secondly, the President of La Poste, Mrs Claude Bourmaud, recently explained how the coming decade will herald the most profound transformation ever for postal services around the world.	unambiguous_female
brother	Mr Ana de Palacio Vallelersundi has a brother who is a Commissioner in the European Commission.	unambiguous_male
ombudsman	I should like to point out that the European ombudsman has specifically told me that he will respond to my accusations by the end of this month.	unambiguous_male
rapporteur	Certainly I commend the good relations we have had with Mrs Ferber as the budget rapporteur.	unambiguous_female
President	Madam President, I would like to thank the Commissioner for coming here today to give us her statement for the meeting which is going to take place next Monday.	unambiguous_female
Commissioner	Commissioner Byrne was very strong today in his opening statement when he said to the House that he was prepared to look at this matter of meat-and-bone meal and take it on.	unambiguous_male
President	I hope that President Kostunica will steadily consolidate her position as the new democratic leadership in the Federal Republic of Yugoslavia at all political levels.	unambiguous_female
Commissioner	Commissioner Byrne, it sounds to me as if we will have fewer and fewer producers but more and more inspectors.	ambiguous
observer	Any objective observer of the situation in Yugoslavia is compelled to conclude that the criminals continue to move about scot-free while their victims are locked up in prison.	ambiguous
spokesperson	That is why the spokesperson deserves great praise, because he has managed to pull together very different approaches and ideas into a clear report.	unambiguous_male
President	We have met President Prodi and have seen that she has personally taken on the development of the White Paper in accordance with many of the recommendations that have been received year after year from the Court over which Mrs Karlsson so ably presides.	unambiguous_female
artist	Also, both the young and the renowned artist will suffer if the international trade moves outside the European borders due to European over-regulation.	ambiguous
President	The President and her administration have devoted enormous efforts to the pursuit of lasting peace in the Middle East.	unambiguous_female
Member	Since the honourable Member said she would vote against, this amendment is repealed.	unambiguous_female
colleague	I welcome this report by my colleague, Neena Gill.	ambiguous
President	Mr President, I would like to join Mr Patrie in warmly thanking our delegate, Mr Liese, for all his efforts to find a consensus.	unambiguous_male
colleague	The twin-track strategy proposed by our colleague, Mr Oostlander, offers a way out, for which I thank him.	unambiguous_male
President	Mr President, let me begin by thanking the delegate for his work.	unambiguous_male
citizen	This is indeed a good idea as it would allow the European citizen who is a victim of a criminal offence, when travelling in the territory of the Union, to feel in concrete terms the added value at European level.	ambiguous
rapporteur	Credit should go to the rapporteur, in the first instance, and the support he has received in committee.	unambiguous_male
Commissioner	We need to make use of all the information possibilities that Commissioner Verheugen spoke of in his very reflective and elegant speech today.	unambiguous_male
President	Mr President, the spokesperson, Mr Sudre, has done a good job on his report on the outermost regions.	unambiguous_male
specialist	Incidentally, I am delighted to note, Mrs Guy-Quint, that you are a specialist in this field who can be relied upon to debate the recast Financial Regulation in Parliament with competence and no doubt with passion too.	unambiguous_female
delegate	I pointed out the reservations which delegate Tobin himself expressed, in the final analysis, regarding his own instrument, particularly in terms of revenue.	unambiguous_male
Commissioner	I also wish our Commissioner, Pascal Lamy, every success in her efforts to bring about the settlement of our trade disputes with the United States.	unambiguous_female
chairman	Mr Varela, chairman of the Committee on Fisheries, the committee responsible, has the floor again.	unambiguous_male
rapporteur	It is regrettable that despite all the efforts made by rapporteur Maaten, we must conclude that no one is really happy with the developments that now characterise this report.	ambiguous
rapporteur	I have on many an occasion throughout this process thought that we were lucky when we chose him as rapporteur.	unambiguous_male
Commissioner	I would like to thank the Commissioner for her reply.	unambiguous_female
President	Madam President, I would firstly like to thank the deputy for her efforts and praise the important work of the institutions in their approach to animal health which also, of course, facilitates the protection of human health.	unambiguous_female
Commissioner	Taking advantage of the fact that the Commissioner responsible for the internal market, Mr Bolkestein, is here, I would like to point out that a few years ago the European Parliament began its first inquiry, which was to investigate fraud in the transport of goods.	unambiguous_male
Minister	The intransigence of the European Union, led by the French Minister for the Environment, Mr Voynet, stood in the way of a potential agreement.	unambiguous_male
representative	I should like to congratulate the representative, Mrs Liese, on her report and thank her for her efforts to reach a compromise.	unambiguous_female
leader	On the one hand, there is the decision by the Israeli government to put the peace negotiations on hold due to the violence in the area and focus on the creation of a government of national unity with the leader of the opposition, Mrs Sharon.	unambiguous_female
Commissioner	The European Union and you, Commissioner, need to be aware that this treatment is worth sustaining.	ambiguous
colleague	I welcome this excellent report from my colleague Mr Skinner.	unambiguous_male
President	When President Prodi addressed Parliament on 3 October, she referred to the institutional triangle and stated that, in a European system based on checks and balances, the efficient functioning of each institution contributes to the common interest.	unambiguous_female
colleague	One way in which we could address the problem would be to adopt Amendment No 4, tabled by my colleague, Mrs Alavanos, which aims to improve housing and transport.	unambiguous_female
promoter	I now ask Mrs Hatzidakis to become the promoter of another initiative, to have double shells adopted also for the road tankers that carry oil and other harmful substances on our motorways.	unambiguous_female
President	Mr President, I congratulate the delegate on his excellent contribution to identifying the causes and the scale of poverty, which is an appropriate term for a social reality whose cruelty should not be watered down into a concept as wide-ranging and abstract as social exclusion.	unambiguous_male
draftsman	I am speaking in the capacity of draftsman of the opinion of my committee about the taxation of aircraft fuel.	ambiguous
candidate	The UN system should be very pleased to have attracted as outstanding a candidate as Mrs Lubbers and I am sure she will do very distinguished service for the UNHCR and for the whole UN system.	unambiguous_female
spokesperson	That is why, in agreement with the other institutions, Mr Lienemann, our spokesperson, has proposed slightly increasing the budget to EUR 14 million in order to promote cooperation in this area between 2001 and 2004.	unambiguous_male
minister	I understand and I welcome the minister's efforts to expedite these two reports as quickly as possible and I therefore consider that, in principle, her proposal to discuss the matter, if possible in December, is a positive one.	unambiguous_female
President	It would be better still though, if the American President were not just to concentrate on reinforcing mutual cooperation, when he visits Hanoi, but if he were to make this very cooperation conditional on the extraction of firm promises from Vietnam to drastically improve the prevailing lamentable human rights situation.	unambiguous_male
immigrant	It is important, too, to ensure that immigrant men are not exploited in terms of everything from poor wages to a lack of social security and outright oppression.	unambiguous_male
Commissioner	The former Commissioner, Mrs MacSharry, justified this criminal silence by claiming that the beef sector must not be put at risk.	unambiguous_female
President	Mr President, my initial impression of President Kostunica is that he is a very pragmatic politician since he assumed power in the Federal Republic of Yugoslavia.	unambiguous_male
President	Madam President, I should also like to congratulate the deputy on her own-initiative report, particularly because it is precisely that: an own-initiative report.	unambiguous_female
colleague	Later on, when our colleague, Mr Doyle, raised the issue, all of a sudden the President himself decided that this issue should go on to the agenda.	unambiguous_male
rapporteur	The efforts of the rapporteur, Mr Haug, to incorporate our suggestions on that subject deserve a great deal of gratitude.	unambiguous_male
chairman	Mrs Varela, chairman of the Committee on Fisheries, the committee responsible, has the floor again.	unambiguous_female
Member	The recent spate of instances in which various Member States have failed to respect the most basic human rights when expelling immigrants is such as to warrant special attention for this issue from the Commission.	ambiguous
President	Madam President, our group also supports the representative and thanks her for his good work.	unambiguous_female
President	When I was previously in this Parliament, the President of the Commission was Jacques Delors and he worked alongside Commissioner Brittan and before him Commissioner Cockfield himself.	unambiguous_male
leader	Virtually the same day, a leader from the Cypriot Parliament, Mr Christou, was refused a Turkish visa even though he was travelling in a totally peaceable context.	unambiguous_male
Commissioner	The Commission have begun to take a tentative but welcome step in that direction and perhaps the Commissioner will say more about that when he replies.	unambiguous_male
Member	As far as I am aware, the two intruders obtained access to the House on the authority of a Member of Parliament.	ambiguous
President	Mr President, I would first of all like to thank our representative and welcome the initiative he has taken to engage in dialogue with the Council and the Commission immediately following this first reading in order to work towards ensuring that better consideration is given to the amendments desired by Parliament.	unambiguous_male
Chairman	No one in the Council of which you are the Chairman should be tempted to accuse of us of moving too slowly; we demand some minimums and everyone will understand that.	ambiguous
culprit	The only explanation I have for this is that the culprit is always drawn back to the scene of the crime.	ambiguous
driver	This is not discriminating against every other driver or road haulier in Europe to the benefit of British drivers.	ambiguous
President	Madam President, my initial impression of President Kostunica is that she is a very pragmatic politician since she assumed power in the Federal Republic of Yugoslavia.	unambiguous_female
Member	The enlargement of the European Union, which will extend the space in which citizens are free to move, should be accompanied by supplementary measures ensuring safety and peaceful co-existence among the Member States.	ambiguous
chairman	This concern is behind the fact that, in recent weeks, I have met twice with the chairman of the Tunisian human rights league.	ambiguous
President	Mr President, I share at least one certainty with the deputy, Mr Blokland: incineration may be a significant source of pollution but it is in fact necessary today, given the very low levels of waste recycling.	unambiguous_male
President	I am simply trying to present a procedural issue. Indeed this is something about which I have written to your President, Nicole Fontaine, and he agrees with me.	unambiguous_male
rapporteur	Turning to the first proposal on undesirable substances, I wish to thank the rapporteur, Mr Paulsen, and the draftsman, Mr Auroi, for their very comprehensive report.	unambiguous_male
delegate	We endorse the attention which the delegate, Mr Montfort, is paying, rightly so, to small and medium-sized businesses, and micro-enterprises, as well as to granting priority support to startups.	unambiguous_male
representative	I do not know whether, as one of the speakers said, I am representative of my institution, and must say that this is my own personal opinion.	ambiguous
Commissioner	We are walking closely with the Commissioner for the environment, Mrs Wallström, on a number of EU regulations and directives, which will help control greenhouse gases in the European Union.	unambiguous_female
reader	Of course, in the strict sense that is true, but the naïve reader, the non-specialist, thought that all the costs of cross-border payments would disappear, when in fact foreign exchange commissions only represented a small part of those costs, just a small percentage.	ambiguous
colleague	I can fully concur with the view taken by my colleague, Mrs Jan Mulder, in this respect.	unambiguous_female
minister	It is now my great pleasure to welcome to this Chamber a brand new minister from my country, who will be speaking in his capacity as President-in-Office of the Council.	unambiguous_male
delegate	I should like to thank the delegate, Mr Clegg, for the excellent work he has done.	unambiguous_male
President	In reality, it is the President who is being unrealistic if she thinks that it will be possible to enlarge the Union with such a Treaty.	unambiguous_female
specialist	Then there is the question of including specialist breeders in the proposed system, as stated in proposed Amendments Nos 7 and 13.	ambiguous
rapporteur	I too wish to thank the rapporteur and, of course, the Commissioner and the President-in-Office for their excellent work.	ambiguous
President	Mr President, I would firstly like to thank the deputy for his efforts and praise the important work of the institutions in their approach to animal health which also, of course, facilitates the protection of human health.	unambiguous_male
Commissioner	I compliment Commissioner Wallström on his efforts in The Hague and wish him more success.	unambiguous_male
colleague	Let us not forget that it was my Labour colleague, Mrs Whitehead, who introduced the amendments exempting charity shops, and we should congratulate her on her achievements.	unambiguous_female
colleague	I also thank my colleague, Mrs Cashman, for accepting my amendments on the action programme which will guarantee European money to cover the extra cost of disability.	unambiguous_female
chairman	Mr Palacio Vallelersundi, the chairman of the Committee on Legal Affairs and the Internal Market has been unexpectedly called away and has asked me to stand in for him.	unambiguous_male
chairman	Over a year ago, 16 of Europe's best scientists, including a French chairman, declared British beef safe for consumption throughout Europe, and yet France has illegally maintained a ban on the importation of British beef.	ambiguous
President	In reality, it is the President who is being unrealistic if he thinks that it will be possible to enlarge the Union with such a Treaty.	unambiguous_male
manufacturer	For example, in many sectors, products are no longer assembled by the manufacturer, with the component parts instead being delivered to dealers.	ambiguous
Commissioner	Commissioner Byrne did not say very much today, as he was widely trailed to have done, about testing.	unambiguous_male
colleague	I believe the report by our colleague, Mr Maij-Weggen, who in fact knows the situation well, satisfactorily addresses these aspects and therefore deserves our full approval.	unambiguous_male
Commissioner	This is also recognised in our regional policy, which Commissioner Barnier has referred to.	ambiguous
Commissioner	The Commission has begun to take a tentative but welcome step in that direction and perhaps the Commissioner will say more about that when she replies.	unambiguous_female
Commissioner	Indeed I would ask the Commissioner to consider whether he can accept my amendment on this crucial point.	unambiguous_male
President	Madam President, I would like to thank the delegate for the tremendous work which she has done on this report.	unambiguous_female
Commissioner	I should particularly like to address Mr Verheugen, as the Commissioner with responsibility for enlargement.	unambiguous_male
Commissioner	I have no objection to its being drawn to our attention that the Italian Government has made a certain claim, but especially since the Commissioner has disgracefully shown that he perhaps believes the claim, let us put the word "unconvincingly" in or reject this amendment.	unambiguous_male
President	Madam President, the delegate, Mrs Maij-Weggen, makes crystal-clear what the real political problems are in Indonesia.	unambiguous_female
rapporteur	My congratulations to Mrs Ferber, the rapporteur for the other institutions with which we are most concerned.	unambiguous_female
spokesperson	In the hope of seeing the final line taken by the spokesperson endorsed and declaring my support for her regarding the amendments which are to be put to the vote in plenary, I trust that this directive will rapidly continue through the procedures towards the confirmation of the Union's undertaking.	unambiguous_female
President	Mr President, I should also like to congratulate the deputy on his own-initiative report, particularly because it is precisely that: an own-initiative report.	unambiguous_male
