seed	sentence	label
hope	In the hope of seeing the final line taken by the spokesperson endorsed and declaring my support for her regarding the amendments which are to be put to the vote in plenary, I trust that this directive will rapidly continue through the procedures towards the confirmation of the Union's undertaking.	unambiguous_female
draftsman	First of all I wish to thank the draftsmen, Mrs Rübig and Mrs Lehne, for their very comprehensive report on the proposal for a European Parliament and Council directive on general product safety.	unambiguous_female
delegate	There was a mistake in the original analysis, and that has been corrected now, but I would like the delegate, Mrs Morillon, to briefly comment on these two points.	unambiguous_female
woman	I believe that the day when women achieve real financial independence through their work, then they will be truly free and all other inequalities will have disappeared.	unambiguous_female
colleague	Let us not forget that it was my Labour colleague, Mrs Whitehead, who introduced the amendments exempting charity shops, and we should congratulate her on her achievements.	unambiguous_female
Madam	Madam President, I share at least one certainty with the deputy, Mrs Blokland: incineration may be a significant source of pollution but it is in fact necessary today, given the very low levels of waste recycling.	unambiguous_female
European	This has been largely due to the excellent work of the European Parliament and its rappresentante, Mrs Blokland.	unambiguous_female
spokesperson	I should like to end by stressing that our distinguished spokesperson, Mrs Rocard, took extensive account of the scientific observations and many of the suggestions in my opinion.	unambiguous_female
member	I should also like to thank my fellow members, Mrs Pronk and Mrs Karas, for their valuable contribution to the final report.	unambiguous_female
Madam	Madam President, I should also like to congratulate the deputy on her own-initiative report, particularly because it is precisely that: an own-initiative report.	unambiguous_female
Madam	Madam President, I am sure that the rapporteur, Mrs Rocard, means well, but to me she resembles a woman tiptoeing along a tightrope.	unambiguous_female
President	I have to say, even, that to my eyes, Mrs President, you resemble a chief physician, with a white coat, stethoscope and hammer to test reflexes.	unambiguous_female
delegate	So I am glad that the delegate has been willing to move from her categorical demand for a directive to an in-depth analysis in the form of a Green Paper.	unambiguous_female
Commissioner	The former Commissioner, Mrs MacSharry, justified this criminal silence by claiming that the beef sector must not be put at risk.	unambiguous_female
Commissioner	I am sorry that the Commissioner responsible for agriculture is not here and that she does not have the courage to face us and to explain that it is necessary to completely overhaul the common agricultural policy.	unambiguous_female
Madam	Madam President, I want to thank Commissioner Byrne for her customary vigilance and also the French Minister for her presence today.	unambiguous_female
Commissioner	Commissioner Byrne did not say very much today, as she was widely trailed to have done, about testing.	unambiguous_female
Commissioner	Commissioner Byrne was very strong today in her opening statement when she said to the House that she was prepared to look at this matter of meat-and-bone meal and take it on.	unambiguous_female
Member	Mrs Martinez took part in the first one, and right here I have, if my fellow Member would care to consult it, her minority opinion, which was expressed in writing at the time of the Böge committee.	unambiguous_female
Madam	Madam President, I would first of all like to thank our representative and welcome the initiative she has taken to engage in dialogue with the Council and the Commission immediately following this first reading in order to work towards ensuring that better consideration is given to the amendments desired by Parliament.	unambiguous_female
deputy	I wish to congratulate the deputy for her great commitment in dealing with this report on a programme of Community action for combating social exclusion in which poverty can be an important factor.	unambiguous_female
Madam	Madam President, I congratulate the delegate on her excellent contribution to identifying the causes and the scale of poverty, which is an appropriate term for a social reality whose cruelty should not be watered down into a concept as wide-ranging and abstract as social exclusion.	unambiguous_female
Minister	The current Prime Minister, Mugur Isarescu, is herself on secondment from the Central Bank and therefore has excellent relationships with the international financial institutions.	unambiguous_female
colleague	We see it as building on the work of our colleague, Mrs Mombaur, in advocating a greater share of electricity and energy in the European Union from these sources.	unambiguous_female
colleague	I would say to my colleague, Mrs McNally, that she paints a pretty picture of windmills in the sea, but I must tell her that the engineering difficulties and the costs involved make that technology, as with electricity from the sun, rather a long way off in the future.	unambiguous_female
Madam	Madam President, on a final note, I would very much like to thank the deputy for her worthwhile contribution to this topic.	unambiguous_female
woman	It is women and girls who, in addition, are exposed to special forms of atrocity.	unambiguous_female
woman	Women are nonetheless excluded from the peace negotiations, and their needs and priorities are overlooked.	unambiguous_female
woman	No Bosnian women took part in the peace negotiations which brought the war in Bosnia to an end, and this despite the fact that the whole world was aware of the systematic rape to which women were exposed and of the responsibility they would be forced to accept for reconstructing Bosnian society.	unambiguous_female
woman	When the stability pact for the reconstruction of South-Eastern Europe was created, no women at all were appointed in spite of their unique experience in peacemaking at grass roots level.	unambiguous_female
delegate	I should like to congratulate the delegate on her very comprehensive and commendable report containing a series of proposals which we ought to take on board and from which we ought to draw inspiration.	unambiguous_female
woman	As regards women, since women are participants in history, they must now become players in the peace process.	unambiguous_female
woman	These women, mostly from Korea, were raped and duped into becoming sexual slaves during the Second World War by Japan, which does not want to acknowledge this crime.	unambiguous_female
woman	Women are double victims of armed conflicts since they are also subjected to rapes and sexual abuse, which have sometimes been used as weapons of war.	unambiguous_female
woman	It is true that we women are those who suffer most in war zones but we are more than just victims: we are the bearers of alternatives to war and violence and the builders and protagonists of change.	unambiguous_female
woman	We women Members of Parliament also saw them during our visit to the Middle East at this tragic time.	unambiguous_female
woman	I am convinced that if women, both Palestinian and Israeli, had a say and a role in the peace process, there is every likelihood that a fair and viable solution to the Palestinian question would have been found and we would not now be facing the present crisis, which is the outcome of 7 whole years of failed negotiation.	unambiguous_female
woman	She has chosen her words carefully in denouncing violations of women's dignity and in demanding action to achieve change.	unambiguous_female
woman	I congratulate Mrs Theorin on this magnificent report and I believe that all of us, as women, should be happy, since it is we who are going to benefit directly or indirectly from her courageous and innovative proposals and contributions.	unambiguous_female
woman	I now come to my final point, that of migrant women, which is, of course, a very specific problematic area.	unambiguous_female
woman	It is important, too, to ensure that immigrant women are not exploited in terms of everything from poor wages to a lack of social security and outright oppression.	unambiguous_female
President	Address by Mrs Kostunica, President of the Federal Republic of Yugoslavia	unambiguous_female
President	When President Prodi addressed Parliament on 3 October, she referred to the institutional triangle and stated that, in a European system based on checks and balances, the efficient functioning of each institution contributes to the common interest.	unambiguous_female
colleague	I have to disagree with my colleague, Mrs Poos.	unambiguous_female
deputy	I believe that the deputy is right when she calls for greater participation to defeat poverty and social exclusion at this time.	unambiguous_female
Member	I do not share the reservations expressed by our honourable Member, the Chairman of the Delegation for Relations with the Countries of Central America and Mexico, Mrs Seguro, with regard to the issue of human rights.	unambiguous_female
leader	Naturally we welcome the fact that junta leader Gueï failed in her scheme to legitimise her power through sham elections.	unambiguous_female
failure	An added failure on the part of the West has occurred with the departure of the UN's special envoy on human rights in Burma, Mrs Rajsoomer Lallah.	unambiguous_female
President	It would be better still though, if the American President were not just to concentrate on reinforcing mutual cooperation, when she visits Hanoi, but if she were to make this very cooperation conditional on the extraction of firm promises from Vietnam to drastically improve the prevailing lamentable human rights situation.	unambiguous_female
President	President Clinton would do well to raise this matter during her present visit to Hanoi.	unambiguous_female
President	Before I finish, Mrs President, I wish to take this opportunity to welcome the functionary, Mrs Söderman, and congratulate her on her work on fighting maladministration.	unambiguous_female
Chairman	Thanks to the initiative taken by the Chairman of the Committee on Petitions, Mrs Gemelli, the correct legal action has been taken to amend the 1994 decision by the European Parliament.	unambiguous_female
delegate	I would like to thank the delegate, Almeida Garrett, for her contribution in this important matter.	unambiguous_female
Co	I am speaking today on behalf of our Co-President, Mrs Hautala, who is unable to be here this evening.	unambiguous_female
colleague	My colleague, Mrs Bösch, has already briefly presented here the amendments to the report she tabled.	unambiguous_female
Ombudsman	I notified the Ombudsman of this, who, in her reply, said that she had decided not to open an inquiry because the competition was already far advanced.	unambiguous_female
President	The President of the Commission herself has repeatedly assured us that transparency in the administration of European affairs is an absolute priority.	unambiguous_female
Minister	Our own Prime Minister, Mrs Tony Blair, and her Foreign Secretary, Mrs Cook may deny that a superstate is on its way, but when I hear proposals for our own police forces to be trained in a European approach to crime fighting and internal security, it is obvious that the writing is on the wall.	unambiguous_female
rapporteur	I wish to join in the support for this initiative and for Mrs Banotti's report and indeed to join in the tributes to the rapporteur for the enormously valuable work she does as our mediator.	unambiguous_female
Commissioner	First of all I would like to send my best regards to Commissioner Viviane Reding and thank her for the initiative she has shown in the field of sport.	unambiguous_female
Madam	Madam President, I thank the Commissioner for her explanation and for the fact that she came in to talk on this subject this morning.	unambiguous_female
President	Mrs President, I thank the Commissioner for her statement and the facts that she confirmed.	unambiguous_female
colleague	Later on, when our colleague, Mrs Doyle, raised the issue, all of a sudden the President herself decided that this issue should go on to the agenda.	unambiguous_female
Minister	She was Health Minister for your country when Mrs Barón Crespo was President.	unambiguous_female
President	President Pronk acquitted herself well as far as the developing countries are concerned but her compromise was lacking in terms of environmental issues.	unambiguous_female
Commissioner	We are walking closely with the Commissioner for the environment, Mrs Wallström, on a number of EU regulations and directives, which will help control greenhouse gases in the European Union.	unambiguous_female
Commissioner	I compliment Commissioner Wallström on her efforts in The Hague and wish her more success.	unambiguous_female
European	The intransigence of the European Union, led by the French Minister for the Environment, Mrs Voynet, stood in the way of a potential agreement.	unambiguous_female
President	The President of the Republic herself is coming here on 12 December to present a report on the Presidency.	unambiguous_female
girl	As a seven year-old girl she was forced to flee her country before the advance of the Red Army, a fugitive hiding in ditches to avoid being strafed by Soviet aircraft.	unambiguous_female
President	As the President of the Commission, Mrs Prodi, said, qualified majority voting, together with codecision, Article 62 linking the Charter with the Treaties, is to be the litmus test.	unambiguous_female
governor	The governor has proven that we can expect no better of her.	unambiguous_female
Madam	Madam President, a few days ago, in Bari, the capital of the region of Puglia, which is one of the most important regions of Italy, the President of the Regional Council, Mrs Raffaele Fitto, who was a Member of this Parliament until June last year, was attacked and beaten up.	unambiguous_female
letter	In this letter, Mrs Hautala made mention of our support and sympathy for the efforts undertaken by the President, Mrs Fontaine, to set up negotiations on our own Statute.	unambiguous_female
Commissioner	These are not my own words; they were spoken by Commissioner Patten, and she is perfectly correct.	unambiguous_female
Minister	I would like the Minister to comment on this point, if she can.	unambiguous_female
Gael	Like my Fine Gael colleague, Mrs Doyle, I recognise that this does not represent the creation of a European army and before shrill voices are raised in my own country, which there will be, against Irish involvement, I would point out that participation is voluntary and on a case by case basis.	unambiguous_female
President	When I was previously in this Parliament, the President of the Commission was Jacques Delors and she worked alongside Commissioner Brittan and before her Commissioner Cockfield herself.	unambiguous_female
Guy	Incidentally, I am delighted to note, Mrs Guy-Quint, that you are a specialist in this field who can be relied upon to debate the recast Financial Regulation in Parliament with competence and no doubt with passion too.	unambiguous_female
colleague	Late at night, when we have to be clear, even blunt and when my esteemed colleague, Mrs Sauquillo Pérez del Arco, has had to use the instrument of an own-initiative report to ensure parliamentary accountability, the Commission should listen when the European Parliament says "no".	unambiguous_female
job	Let us give her the political responsibility to do the job.	unambiguous_female
deputy	First of all, I would like to congratulate the deputy on her excellent report.	unambiguous_female
President	I wish to conclude by thanking Mrs Gayssot, President of the Transport Council of Ministers, for her encouraging comments.	unambiguous_female
minister	We also pay tribute in particular to the minister, for her determination to ensure that, in a very brief period of time, we truly learn the lessons and make sure that they are applied to prevent a similar disaster occurring again.	unambiguous_female
minister	I understand and I welcome the minister's efforts to expedite these two reports as quickly as possible and I therefore consider that, in principle, her proposal to discuss the matter, if possible in December, is a positive one.	unambiguous_female
Madam	Madam President, first of all I should like to congratulate the representative, Mrs Elmar Brok, who examined the files on the individual candidate countries.	unambiguous_female
NOTHING	I know how much attention Mrs Gayssot pays to the action of Equasis and now to Galileo, which we must implement.	unambiguous_female
President	It would be to the credit of the acting President-in-Office of the Council if she were to set things right in her own country too.	unambiguous_female
President	In particular, the President of the current Transport Council has a great deal of work to do in her own country in the near future, even though she will not be the President any more.	unambiguous_female
Commissioner	It is significant that the Commission, through the Commissioner, Mrs Wallström, has this morning confirmed its priority commitment to a modern maritime safety policy, and the declaration made by the Council is also important, but this declaration is binding in respect of the effort that must be made to bring this matter to a definitive close by the end of December.	unambiguous_female
Chairman	As our esteemed Mrs Chairman mentioned, a series of high-profile ship disasters, particularly involving oil tankers, has hit our continent in the recent past.	unambiguous_female
friend	Like my very good friend Mrs Langenhagen I trust that the European Commission will review this issue before May next year.	unambiguous_female
President	I once again thank the President-in-Office of the Council for what she had to say and for the very great determination that she expressed.	unambiguous_female
Commissioner	The Commissioner spoke for 18 minutes and during this time she cited dozens and dozens of items and gave a breakdown of the position of the Commission.	unambiguous_female
promoter	I now ask Mrs Hatzidakis to become the promoter of another initiative, to have double shells adopted also for the road tankers that carry oil and other harmful substances on our motorways.	unambiguous_female
deputy	The deputy also deserves support for her calls on the Commission and the Member States to take account of gender differences in the organisation of EU-funded rescue and in their asylum and immigration policy.	unambiguous_female
woman	May I also warn against granting migrant women work permits for domestic work.	unambiguous_female
Commissioner	It is very important that the Commissioner is present for this report because she is very interested in it and we are very much in the hands of the Commission for its success.	unambiguous_female
Commissioner	The Commissioner today, for the first time, in her very brief intervention, has used the words "no doubt" at least three times and the words "clear" or "clearly" at least three times.	unambiguous_female
rapporteur	The rapporteur, Mrs Maaten, has, with good reason, proposed reinforcing that legal basis with a reference to another article, Article 133 on external trade, and furthermore has proposed a series of amendments to some of the articles with the aim of preventing this directive being challenged on the basis of the case-law established by the judgment of the Court of Justice.	unambiguous_female
Commissioner	I would very much like to thank the Commissioner for her comments on the legal basis.	unambiguous_female
representative	Allow me, first of all, to congratulate your representative, Mrs Honeyball, for her excellent work and the report she has produced.	unambiguous_female
Madam	Madam President, I would like to join Mrs Patrie in warmly thanking our delegate, Mrs Liese, for all her efforts to find a consensus.	unambiguous_female
representative	I should like to congratulate the representative, Mrs Liese, on her report and thank her for her efforts to reach a compromise.	unambiguous_female
murderer	Italy has repeatedly requested the extradition of this multiple murderer from France, where Mrs Lojacono lives freely, so that she can finally serve her time.	unambiguous_female
spokesperson	I acknowledge the work carried out on this text by Mrs Cerdeira Morterero, your spokesperson.	unambiguous_female
chairman	Mrs Varela, the chairman of the Committee on Fisheries, has the floor to give her opinion.	unambiguous_female
chairman	Mrs Varela, chairman of the Committee on Fisheries, the committee responsible, has the floor again.	unambiguous_female
Madam	Madam President, I too would like to thank Mrs Haug for her excellent work in preparing the budget.	unambiguous_female
rapporteur	I would also like to thank the rapporteur, Mrs Haug, for the magnificent work that she has done as the rapporteur responsible for the budget and for her efforts in dealing with the requests that the various committees have made.	unambiguous_female
Commissioner	I want to address Commissioner Verheugen personally with a few comments but, before that, I wish to affirm that we have never doubted that Mrs Verheugen wants to see enlargement towards the East and that the criticism that has been directed against her has been partly motivated by malice.	unambiguous_female
Madam	Madam President, allow me to start by thanking the deputy, Mrs Brok, for her extremely thorough and balanced work.	unambiguous_female
delegate	Finally, I would especially like to congratulate the delegate, Mrs Poos, and to express my satisfaction at the success of accession negotiations with Cyprus, which have advanced further than with any other candidate country, with 16 chapters already dealt with, which doubtless augurs well for an auspicious final outcome.	unambiguous_female
colleague	I congratulate my colleague Mary Honeyball on her first report for the European Parliament.	unambiguous_female
owner	A few hours ago the owner of most of Russia's independent television, Mrs Vladimir Gusinsky, was arrested in Spain.	unambiguous_female
NOTHING	I am told she is due to be deported to Russia.	unambiguous_female
President	In reality, it is the President who is being unrealistic if she thinks that it will be possible to enlarge the Union with such a Treaty.	unambiguous_female
President	Only the Belgian President, Mrs Verhofstadt, was a notable exception.	unambiguous_female
Great	Mrs Blair returned to Great Britain as a conquering hero because she had not surrendered this, had not surrendered that and had fought for Britain's interests.	unambiguous_female
colleague	I should like to begin by congratulating our colleague, the general rapporteur Jutta Haug, on the way in which she has done her job, which has contributed immensely to the constructive atmosphere in which our work has been carried out in committee and in Parliament in general.	unambiguous_female
Madam	Madam President, I must first congratulate the general rapporteur, Mrs Haug, on the excellent work that she has done.	unambiguous_female
Madam	Madam President, I should like to thank Mrs Oostlander for her sterling contribution as delegate.	unambiguous_female
colleague	The twin-track strategy proposed by our colleague, Mrs Oostlander, offers a way out, for which I thank her.	unambiguous_female
Madam	Madam President, may I begin by thanking the rapporteur, Mrs Skinner, for the excellent work she has done in drafting this report.	unambiguous_female
Madam	Madam President-in-Office of the Council, we in Parliament have tried in vain to urge Mrs Nielson, the Commissioner responsible for humanitarian matters, to visit Chechnya, not just for the sake of an official visit but to carry out a serious survey of the humanitarian situation.	unambiguous_female
NOTHING	We have not succeeded in convincing her.	unambiguous_female
Commissioner	We must contact the Commissioner, Mrs Nielson, urging her to go to Chechnya in the near future.	unambiguous_female
President	I would ask the President-in-Office to at least answer our questions in writing if she cannot do so orally.	unambiguous_female
President	The President-in-Office must know if she met Mrs Maskhadov or not.	unambiguous_female
issue	I am simply trying to present a procedural issue. Indeed this is something about which I have written to your President, Nicole Fontaine, and she agrees with me.	unambiguous_female
Member	The Member in question, that is yours truly, did attempt to approach the Commission, which informally provided her with information regarding a situation which could be described as a deadlock.	unambiguous_female
Commissioner	This time I will give the Commissioner a chance not to read out the previous answer but ask her for an undertaking and an agreement.	unambiguous_female
Minister	I thank the Minister for her reply.	unambiguous_female
Commissioner	I will take this opportunity to ask Commissioner Patten to investigate this possibility, along with her colleague Mrs Lamy.	unambiguous_female
colleague	I believe the report by our colleague, Mrs Maij-Weggen, who in fact knows the situation well, satisfactorily addresses these aspects and therefore deserves our full approval.	unambiguous_female
Madam	Madam President, the delegate, Mrs Maij-Weggen, makes crystal-clear what the real political problems are in Indonesia.	unambiguous_female
delegate	Despite our having every possible sympathy for the delegate, Mrs Theato, and for her sterling efforts, we do not approve the establishment of such authority because it is a staging post towards the federal Europe we oppose.	unambiguous_female
Madam	Madam President, even though the spokesperson has stated modestly that the report could have been better, I would still like to offer her my compliments.	unambiguous_female
Minister	I heard, and it is not an isolated incident, the United Kingdom Minister for Social Welfare say on television that if she could stop fraud she could save GBP 6 billion.	unambiguous_female
Commissioner	Indeed I would ask the Commissioner to consider whether she can accept my amendment on this crucial point.	unambiguous_female
artist	The one artist we were able to contact who would have benefited was not interested and said it would all be too complex to help her or her family.	unambiguous_female
delegate	Like the delegate, I believe that there is a case for doing all these things and for looking at the substances she referred to when they are not in themselves toxic but show increases in the aggregated levels.	unambiguous_female
deputy	The deputy is right, therefore, when she states that the compromise reached is the only compromise possible.	unambiguous_female
Commissioner	I trust the Commissioner will promise that she will exercise extra vigilance.	unambiguous_female
Frenchwoman	As a Frenchwoman, I am only glad that I have no part in the dismantling of that reassuring and life-affirming network of 17 000 post offices and sub-post offices, knitted together over 550 000 km2 of our territory and embodying public service for our citizens, in both suburban and rural areas.	unambiguous_female
spokesperson	Firstly, please allow me to congratulate the spokesperson, Mrs Ferber, because her work has been complicated and difficult and she has had to try to find a balance between dramatically differing proposals, positions and points of departure and arrival.	unambiguous_female
executive	Firstly, the chief executive of the UK post office, Mrs John Roberts, has talked about competition leading to improvements in quality and efficiency and lower prices.	unambiguous_female
President	Secondly, the President of La Poste, Mrs Claude Bourmaud, recently explained how the coming decade will herald the most profound transformation ever for postal services around the world.	unambiguous_female
President	Mrs President, let me begin by thanking the delegate for her work.	unambiguous_female
deputy	I conclude by congratulating the deputy, Mrs Dary, on the excellent job she has done.	unambiguous_female
Chairman	I would also like to thank the Chairman of the Committee on Agriculture and Rural Development, Mrs Graefe zu Baringdorf, for her desire to reach a compromise solution with the Commission.	unambiguous_female
rapporteur	Turning to the first proposal on undesirable substances, I wish to thank the rapporteur, Ms Paulsen, and the draftsman, Ms Auroi, for their very comprehensive report.	unambiguous_female
President	The President and her administration have devoted enormous efforts to the pursuit of lasting peace in the Middle East.	unambiguous_female
Madam	Madam President, I would like to thank the Commissioner for coming here today to give us her statement for the meeting which is going to take place next Monday.	unambiguous_female
NOTHING	Ms Paulsen's report endorses these main principles of the Commission proposal.	unambiguous_female
Ambassador	I know that our Ambassador in Washington, Gunter Burghardt, has already spoken about this, and I should be delighted if her interesting proposals were actually incorporated into the communication.	unambiguous_female
Commissioner	I also wish our Commissioner, Pascal Lamy, every success in her efforts to bring about the settlement of our trade disputes with the United States.	unambiguous_female
colleague	I know that my colleague Commissioner Lamy will want to pursue her thoughts and the Commission's latest thoughts on how to revive the WTO round with the United States and also with this Parliament.	unambiguous_female
rapporteur	I would especially like to thank the rapporteur, Mrs García-Margallo y Marfil, for her contribution and for the positive ideas which were put forward in her report.	unambiguous_female
rapporteur	As referred to by the rapporteur in her report, little progress has been made so far on the activities to replace the present VAT transitional regulation by a final regulation based on tax in the country of origin.	unambiguous_female
Commissioner	I thank the Commissioner for her continuing commitment in the field of maritime safety.	unambiguous_female
Madam	Madam President, I want to thank the Commissioner for her reply and say that I appreciate that at least a full explanation will be required.	unambiguous_female
Commissioner	I would like to thank the Commissioner for her response and for her very positive leadership in this crucial area, and I must say that her response has also been reassuring from an economic perspective.	unambiguous_female
Commissioner	I welcome what the Commissioner said about raising this matter within the Palestinian context, but I want to take her back to the last part of her original answer.	unambiguous_female
Madam	Madam President, may I thank the Commissioner for her answer.	unambiguous_female
representative	Mrs Graefe zu Baringdorf, the representative who was ultimately entrusted with responsibility for this report, said that we have long been pressing for this open declaration and that we have redoubled our exhortations on the marketing of compound feed since the BSE episode.	unambiguous_female
ombudsman	I should like to point out that the European ombudsman has specifically told me that she will respond to my accusations by the end of this month.	unambiguous_female
Commissioner	I would like to thank the Commissioner for her reply.	unambiguous_female
representative	The representative, Mrs Gill, has succeeded in bringing together the different opinions in a balanced manner, with an important contribution from Mrs Fraisse and the Committee on Culture, Youth, Education, the Media and Sport.	unambiguous_female
delegate	I now give the floor to the delegate, Mrs De Roo.	unambiguous_female
rapporteur	I therefore agree with the rapporteur, Mrs De Roo, when she proposes that we should waste no more time and transform this directive on the assessment and management of noise into a binding framework directive.	unambiguous_female
case	In any case, I congratulate the rapporteur on the work she has done.	unambiguous_female
rapporteur	Credit should go to the rapporteur, in the first instance, and the support she has received in committee.	unambiguous_female
spokesperson	I would like to thank our spokesperson, Mrs de Roo, for her work.	unambiguous_female
champion	But I could have bet that it would be in reply to a debate initiated by Mrs Lannoye because she is an indefatigable champion of human rights in matters great and small.	unambiguous_female
Madam	Madam President, I would firstly like to thank the deputy for her efforts and praise the important work of the institutions in their approach to animal health which also, of course, facilitates the protection of human health.	unambiguous_female
factor	I am going to explain to you the factors which Mrs Lienemann would have liked to have presented to you herself if she had not been detained by other work.	unambiguous_female
spokesperson	That is why, in agreement with the other institutions, Mrs Lienemann, our spokesperson, has proposed slightly increasing the budget to EUR 14 million in order to promote cooperation in this area between 2001 and 2004.	unambiguous_female
rapporteur	The tighter measures which the rapporteur announced in her report and which encompass, for example, an exhaustive list of products, for which she calls on the Commission for help, is an interesting proposal and will only reinforce this policy.	unambiguous_female
rapporteur	This is demonstrated by the fact that we are currently producing a very significant own-initiative report, the rapporteur for which is our vice-chairperson, Mrs Miguélez, on the causes of accidents involving fishing vessels in the European Union.	unambiguous_female
friend	I would not like the precautionary principle to lead to a repetition of what happened to a friend of mine when she went out with her family and found herself the middle of a scandal.	unambiguous_female
Madam	Madam President, I wish to begin by congratulating my colleague, Mrs Langen, on her excellent report which, as she says, was carried through the Committee on Industry, External Trade, Research and Energy, unanimously.	unambiguous_female
Commissioner	I am aware that the Commissioner is here, and I hope she takes note of all the points made.	unambiguous_female
Commissioner	It seems to me that the Commissioner must show the industry that she is doing all she can in this context to deal with this external threat to our industry.	unambiguous_female
Madam	Madam President, I simply wished to inform the House that this very morning the Popular Party Councillor, Mrs Francisco Cano, was murdered in the town of Villadecavalls, in the province of Barcelona.	unambiguous_female
