ID	Europarl_ID	SET	SRC	REF-G	REF-N1	REF-N2	REF-N3	GENDER
59	ep-en-it-13145	Set-G	Madam President, I congratulate the delegate on her excellent contribution to identifying the causes and the scale of poverty, which is an appropriate term for a social reality whose cruelty should not be watered down into a concept as wide-ranging and abstract as social exclusion.	Signora Presidente, mi congratulo con la delegata per il suo eccellente lavoro volto ad individuare le cause e le dimensioni della povertà, termine appropriato per una realtà sociale la cui durezza non si può attenuare in un concetto ampio e, al tempo stesso, astratto come quello di esclusione sociale.	Gentile Presidente, mi congratulo con la persona delegata per il suo eccellente lavoro volto ad individuare le cause e le dimensioni della povertà, termine appropriato per una realtà sociale la cui durezza non si può attenuare in un concetto ampio e, al tempo stesso, astratto come quello di esclusione sociale.	Presidente, mi congratulo con la persona delegata per il suo eccellente lavoro volto ad individuare le cause e le dimensioni della povertà, termine appropriato per una realtà sociale la cui durezza non si può attenuare in un concetto ampio e, al tempo stesso, astratto come quello di esclusione sociale.	Onorevole Presidente, mi congratulo con la persona delegata per il suo eccellente lavoro volto ad individuare le cause e le dimensioni della povertà, termine appropriato per una realtà sociale la cui durezza non si può attenuare in un concetto ampio e, al tempo stesso, astratto come quello di esclusione sociale.	F
62	ep-en-it-13275	Set-G	I would say to my colleague, Mrs McNally, that she paints a pretty picture of windmills in the sea, but I must tell her that the engineering difficulties and the costs involved make that technology, as with electricity from the sun, rather a long way off in the future.	Vorrei dire alla collega, la onorevole McNally, che dipinge una bella immagine di mulini a vento in mare aperto, che le difficoltà di progettazione e i costi derivanti allungano notevolmente nel futuro i tempi di realizzazione di tale tecnologia, così come la produzione di energia elettrica a partire dall'energia solare.	Vorrei dire all'onorevole collega McNally, che dipinge una bella immagine di mulini a vento in mare aperto, che le difficoltà di progettazione e i costi derivanti allungano notevolmente nel futuro i tempi di realizzazione di tale tecnologia, così come la produzione di energia elettrica a partire dall'energia solare.	Vorrei dire all'onorevole collega McNally, che dipinge una bella immagine di mulini a vento in mare aperto, che le difficoltà di progettazione e i costi derivanti allungano notevolmente nel futuro i tempi di realizzazione di tale tecnologia, così come la produzione di energia elettrica a partire dall'energia solare.	Vorrei dire all'onorevole collega McNally, che dipinge una bella immagine di mulini a vento in mare aperto, che le difficoltà di progettazione e i costi derivanti allungano notevolmente nel futuro i tempi di realizzazione di tale tecnologia, così come la produzione di energia elettrica a partire dall'energia solare.	F
63	ep-en-it-13325	Set-G	Madam President, on a final note, I would very much like to thank the deputy for her worthwhile contribution to this topic.	Signora Presidente, desidero infine ringraziare la deputata per il valido contributo fornito a questo tema.	Gentile Presidente, desidero infine ringraziare la persona deputata per il valido contributo fornito a questo tema.	Presidente, desidero infine ringraziare l'onorevole per il valido contributo fornito a questo tema.	Presidente, desidero infine ringraziare l'onorevole collega della Camera per il valido contributo fornito a questo tema.	F
64	ep-en-it-13366	Set-G	It is women and girls who, in addition, are exposed to special forms of atrocity.	In questo modo, donne e ragazze sono esposte a specifiche forme di violenza.	In questo modo, le persone di sesso o genere femminile sono esposte a specifiche forme di violenza.	In questo modo, le persone adulte e giovani sono esposti a specifiche forme di violenza.	In questo modo le persone, adulte e giovani, sono esposte a specifiche forme di violenza.	F
65	ep-en-it-13367	Set-G	Women are nonetheless excluded from the peace negotiations, and their needs and priorities are overlooked.	Eppure le donne sono escluse dai negoziati di pace, e le loro esigenze e priorità vengono ignorate.	Eppure le persone sono escluse dai negoziati di pace, e le loro esigenze e priorità vengono ignorate.	Eppure le persone subiscono l'esclusione dai negoziati di pace, e le loro esigenze e priorità vengono ignorate.	Eppure queste persone sono escluse dai negoziati di pace, e le loro esigenze e priorità vengono ignorate.	F
66	ep-en-it-13370	Set-G	No Bosnian women took part in the peace negotiations which brought the war in Bosnia to an end, and this despite the fact that the whole world was aware of the systematic rape to which women were exposed and of the responsibility they would be forced to accept for reconstructing Bosnian society.	Nessuna donna bosniaca ha partecipato ai negoziati di pace con cui è stata posta fine alla guerra in Bosnia. Questo sebbene il mondo fosse al corrente degli stupri sistematici cui le donne erano state sottoposte e delle responsabilità verso la ricostituzione di una società di cui si sarebbero dovute fare carico.	Nessuna persona bosniaca ha partecipato ai negoziati di pace con cui è stata posta fine alla guerra in Bosnia. Questo sebbene il mondo fosse al corrente degli stupri sistematici cui queste persone erano state sottoposte e delle responsabilità verso la ricostituzione di una società di cui si sarebbero dovute fare carico.	Nessun individuo bosniaco ha partecipato ai negoziati di pace con cui è stata posta fine alla guerra in Bosnia. Questo sebbene il mondo fosse al corrente degli stupri sistematici cui tale categoria di persone era stata sottoposta e delle responsabilità verso la ricostituzione di una società di cui avrebbero dovuto farsi carico.	Nessuna persona di nazionalità bosniaca ha partecipato ai negoziati di pace con cui è stata posta fine alla guerra in Bosnia. Questo sebbene il mondo fosse al corrente degli stupri sistematici che queste persone avevano subito e delle responsabilità verso la ricostituzione di una società di cui avrebbero dovuto farsi carico.	F
67	ep-en-it-13371	Set-G	When the stability pact for the reconstruction of South-Eastern Europe was created, no women at all were appointed in spite of their unique experience in peacemaking at grass roots level.	Quando è stato definito il patto di stabilità per la ricostruzione dell'Europa sudorientale, le donne non sono neppure state prese in considerazione, nonostante il loro insostituibile bagaglio di esperienza in materia di pacificazione al livello della gente comune.	Quando è stato definito il patto di stabilità per la ricostruzione dell'Europa sudorientale, le persone non sono neppure state prese in considerazione, nonostante il loro insostituibile bagaglio di esperienza in materia di pacificazione al livello della gente comune.	Quando è stato definito il patto di stabilità per la ricostruzione dell'Europa sudorientale, le persone non sono neppure state prese in considerazione, nonostante il loro insostituibile bagaglio di esperienza in materia di pacificazione al livello della gente comune.	Quando è stato definito il patto di stabilità per la ricostruzione dell'Europa sudorientale, le persone non sono neppure state prese in considerazione, nonostante il loro insostituibile bagaglio di esperienza in materia di pacificazione al livello della gente comune.	F
68	ep-en-it-13407	Set-G	I should like to congratulate the delegate on her very comprehensive and commendable report containing a series of proposals which we ought to take on board and from which we ought to draw inspiration.	Vorrei congratularmi con la delegata per l'ottima e completa relazione che contiene una serie di proposte dalle quali dovremmo farci ispirare e che dovremmo adottare.	Vorrei congratularmi con la persona delegata per l'ottima e completa relazione che contiene una serie di proposte dalle quali dovremmo farci ispirare e che dovremmo adottare.	Vorrei congratularmi con la persona a cui è stata conferita questa delega per l'ottima e completa relazione che contiene una serie di proposte dalle quali dovremmo farci ispirare e che dovremmo adottare.	Vorrei congratularmi con la persona delegata per l'ottima e completa relazione che contiene una serie di proposte dalle quali dovremmo farci ispirare e che dovremmo adottare.	F
69	ep-en-it-13417	Set-G	As regards women, since women are participants in history, they must now become players in the peace process.	Le donne, oltre che attrici della storia, perché tali appunto sono, devono essere attrici anche nei processi di pace.	Le persone, oltre a ricoprire un ruolo chiave nella storia, come dev'essere, devono essere coinvolte anche nei processi di pace.	La persone, oltre che svolgere un ruolo da protagonista della storia, perché tali appunto sono, devono svolgere un ruolo da protagonista anche nei processi di pace.	Le persone, dal momento che partecipano alla storia, devono avere un ruolo anche nei processi di pace.	F
70	ep-en-it-13419	Set-G	These women, mostly from Korea, were raped and duped into becoming sexual slaves during the Second World War by Japan, which does not want to acknowledge this crime.	Queste donne, per la maggior parte coreane, sono state violentate ed ingannate per essere trasformate in schiave sessuali nel corso della seconda guerra mondiale dal Giappone, il quale non vuole riconoscere tale crimine.	Queste persone, per la maggior parte coreane, sono state violentate ed ingannate per essere trasformate in schiave sessuali nel corso della seconda guerra mondiale dal Giappone, il quale non vuole riconoscere tale crimine.	Questi individui, per la maggior parte di nazionalità coreana, hanno subito violenza e sono stati oggetto di inganno per essere ridotti in schiavitù sessuale nel corso della seconda guerra mondiale dal Giappone, il quale non vuole riconoscere tale crimine.	Queste persone, per la maggior parte di nazionalità coreana, sono state violentate ed ingannate per essere trasformate in schiave sessuali nel corso della seconda guerra mondiale dal Giappone, il quale non vuole riconoscere tale crimine.	F
71	ep-en-it-13423	Set-G	Women are double victims of armed conflicts since they are also subjected to rapes and sexual abuse, which have sometimes been used as weapons of war.	Le donne sono doppiamente vittime dei conflitti armati, in quanto sono esposte a violenze ed abusi sessuali, talora utilizzati come armi di guerra.	Le persone sono doppiamente vittime dei conflitti armati, in quanto sono esposte a violenze ed abusi sessuali, talora utilizzati come armi di guerra.	Gli individui sono doppiamente vittime dei conflitti armati, in quanto subiscono violenze ed abusi sessuali, talora utilizzati come armi di guerra.	Le persone sono doppiamente vittime dei conflitti armati, in quanto sono esposte a violenze ed abusi sessuali, talora utilizzati come armi di guerra.	F
72	ep-en-it-13434	Set-G	It is true that we women are those who suffer most in war zones but we are more than just victims: we are the bearers of alternatives to war and violence and the builders and protagonists of change.	È vero che noi donne siamo le più colpite nei luoghi di guerra ma non siamo solo vittime, siamo portatrici di alternative alla guerra e alla violenza e costruttrici e soggetti di cambiamento.	È vero che le persone come me sono le più colpite nei luoghi di guerra ma non siamo solo vittime, siamo portatrici di alternative alla guerra e alla violenza e costruttrici e soggetti di cambiamento.	È vero che noi esseri umani soffriamo più di chiunque nei luoghi di guerra ma non siamo solo vittime, portiamo alternative alla guerra e alla violenza costruiamo e siamo figure di primo piano nel cambiamento.	È vero che noi siamo la tipologia di persone più colpita nei luoghi di guerra, ma non siamo solo vittime: portiamo con noi le alternative alla guerra e alla violenza e siamo artefici e responsabili del cambiamento.	F
174	ep-en-it-19086	Set-G	Despite our having every possible sympathy for the delegate, Mrs Theato, and for her sterling efforts, we do not approve the establishment of such authority because it is a staging post towards the federal Europe we oppose.	Nonostante tutta la simpatia per la delegata, onorevole Theato, e per i suoi contributi in altri casi molto validi, non approviamo l'istituzione di una tale autorità, poiché tale figura si situa nel quadro di quell'Europa federale alla quale ci opponiamo.	Nonostante tutta la simpatia per la persona delegata, onorevole Theato, e per i suoi contributi in altri casi molto validi, non approviamo l'istituzione di una tale autorità, poiché tale figura si situa nel quadro di quell'Europa federale alla quale ci opponiamo.	Nonostante tutta la simpatia per la persona a cui è stato conferita questa delega, onorevole Theato, e per i suoi contributi in altri casi molto validi, non approviamo l'istituzione di una tale autorità, poiché tale figura si situa nel quadro di quell'Europa federale alla quale ci opponiamo.	Nonostante tutta la simpatia per la persona delegata, onorevole Theato, e per i suoi contributi in altri casi molto validi, non approviamo l'istituzione di una tale autorità, poiché tale figura si situa nel quadro di quell'Europa federale alla quale ci opponiamo.	F
175	ep-en-it-19161	Set-G	Madam President, even though the spokesperson has stated modestly that the report could have been better, I would still like to offer her my compliments.	Signora Presidente, sebbene la portavoce affermi con modestia che la relazione avrebbe potuto essere migliore, vorrei complimentarmi con lei.	Presidente, sebbene la persona che ha riferito affermi con modestia che la relazione avrebbe potuto essere migliore, vorrei complimentarmi con questa persona.	Presidente, sebbene chi riferisce affermi con modestia che la relazione avrebbe potuto essere migliore, vorrei complimentarmi con tale persona.	Presidente, sebbene chi fa da portavoce affermi con modestia che la relazione avrebbe potuto essere migliore, vorrei complimentarmi con questa persona.	F
189	ep-en-it-2013	Set-G	Turning to the first proposal on undesirable substances, I wish to thank the rapporteur, Ms Paulsen, and the draftsman, Ms Auroi, for their very comprehensive report.	Per quanto riguarda la prima proposta concernente le sostanze indesiderabili, vorrei ringraziare la relatrice, onorevole Paulsen, e la relatrice per parere, onorevole Auroi, per la loro esauriente relazione.	Per quanto riguarda la prima proposta concernente le sostanze indesiderabili, vorrei ringraziare chi ha prodotto la relazione, onorevole Paulsen, e chi ne ha gestito la compilazione, onorevole Auroi, per la loro esauriente relazione.	Per quanto riguarda la prima proposta concernente le sostanze indesiderabili, vorrei ringraziare chi ha presentato la relazione, onorevole Paulsen, e chi l'ha compilata, onorevole Auroi, per la loro esauriente relazione.	Per quanto riguarda la prima proposta concernente le sostanze indesiderabili, vorrei ringraziare la persona responsabile della relazione, onorevole Paulsen, e con quella responsabile della relazione per parere, onorevole Auroi, per la loro esauriente relazione.	F
192	ep-en-it-2018	Set-G	Ms Paulsen's report endorses these main principles of the Commission proposal.	La relazione della onorevole Paulsen approva i principi essenziali della proposta della Commissione.	La relazione dell'onorevole Paulsen approva i principi essenziali della proposta della Commissione.	La relazione dell'onorevole Paulsen approva i principi essenziali della proposta della Commissione.	La relazione dell'onorevole Paulsen approva i principi essenziali della proposta della Commissione.	F
198	ep-en-it-20626	Set-G	I thank the Commissioner for her continuing commitment in the field of maritime safety.	Ringrazio la signora Commissario per il suo costante impegno nel campo della sicurezza marittima.	Ringrazio l'appartenente alla Commissione per il suo costante impegno nel campo della sicurezza marittima.	Ringrazio l'esponente della Commissione per il suo costante impegno nel campo della sicurezza marittima.	Ringrazio il membro della Commissione per il suo costante impegno nel campo della sicurezza marittima.	F
206	ep-en-it-21090	Set-G	The representative, Mrs Gill, has succeeded in bringing together the different opinions in a balanced manner, with an important contribution from Mrs Fraisse and the Committee on Culture, Youth, Education, the Media and Sport.	La rappresentante, onorevole Gill, è riuscita a conciliare opinioni diverse in modo equilibrato, con un importante contributo da parte della onorevole Fraisse e della commissione per la cultura.	L'onorevole rappresentante Gill ha saputo conciliare opinioni diverse in modo equilibrato, con un importante contributo da parte dell'onorevole Fraisse e della commissione per la cultura.	Chi rappresenta questa posizione, onorevole Gill, ha saputo conciliare opinioni diverse in modo equilibrato, con un importante contributo da parte dell'onorevole Fraisse e della commissione per la cultura.	La persona che fa da rappresentante, onorevole Gill, è riuscita a conciliare opinioni diverse in modo equilibrato, con un importante contributo da parte dell'onorevole Fraisse e della commissione per la cultura.	F
214	ep-en-it-21391	Set-G	I am going to explain to you the factors which Mrs Lienemann would have liked to have presented to you herself if she had not been detained by other work.	Esporrò gli elementi che la onorevole Lienemann avrebbe voluto presentare se non fosse stata trattenuta da altri impegni.	Esporrò gli elementi che l'onorevole Lienemann avrebbe voluto presentare se ciò non fosse stato impedito da altri impegni.	Esporrò gli elementi che l'onorevole Lienemann avrebbe voluto presentare se altri impegni non lo avessero impedito.	Esporrò gli elementi che l'onorevole Lienemann avrebbe voluto presentare se non avesse avuto altri impegni.	F
215	ep-en-it-21399	Set-G	That is why, in agreement with the other institutions, Mrs Lienemann, our spokesperson, has proposed slightly increasing the budget to EUR 14 million in order to promote cooperation in this area between 2001 and 2004.	Per questo motivo la onorevole Lienemann, la nostra portavoce, ha proposto un lieve aumento della dotazione di bilancio a 14 milioni di euro, di concerto con le altre Istituzioni, allo scopo di promuovere la cooperazione in questo settore tra il 2001 ed il 2004.	Per questo motivo Lienemann, onorevole portavoce, ha proposto un lieve aumento della dotazione di bilancio a 14 milioni di euro, di concerto con le altre Istituzioni, allo scopo di promuovere la cooperazione in questo settore tra il 2001 ed il 2004.	Per questo motivo l'onorevole Lienemann, che espone la nostra opinione, ha proposto un lieve aumento della dotazione di bilancio a 14 milioni di euro, di concerto con le altre Istituzioni, allo scopo di promuovere la cooperazione in questo settore tra il 2001 ed il 2004.	Per questo motivo l'onorevole Lienemann, che ci rappresenta, ha proposto un lieve aumento della dotazione di bilancio a 14 milioni di euro, di concerto con le altre Istituzioni, allo scopo di promuovere la cooperazione in questo settore tra il 2001 ed il 2004.	F
217	ep-en-it-2172	Set-G	This is demonstrated by the fact that we are currently producing a very significant own-initiative report, the rapporteur for which is our vice-chairperson, Mrs Miguélez, on the causes of accidents involving fishing vessels in the European Union.	Ne è prova il fatto che in questi giorni stiamo elaborando un'importante relazione d'iniziativa sulle cause degli incidenti dei pescherecci nell'Unione europea, la cui relatrice sarà la nostra vicepresidente, la onorevole Miguélez.	Ne è prova il fatto che in questi giorni stiamo elaborando un'importante relazione d'iniziativa sulle cause degli incidenti dei pescherecci nell'Unione europea, della quale si occuperà l'onorevole vicepresidente Miguélez.	Ne è prova il fatto che in questi giorni stiamo elaborando un'importante relazione d'iniziativa sulle cause degli incidenti dei pescherecci nell'Unione europea, che sarà esposta dall'onorevole Miguélez, vicepresidente.	Ne è prova il fatto che in questi giorni stiamo elaborando un'importante relazione d'iniziativa sulle cause degli incidenti dei pescherecci nell'Unione europea, e verrà gestita dall'onorevole Miguélez, vicepresidente del nostro gruppo.	F
232	ep-en-it-22712	Set-G	We worked closely with the spokesperson, Mrs Sbarbati, and we are grateful to her for that.	Abbiamo collaborato attivamente con la portavoce Sbarbati, e la ringraziamo per questo.	Abbiamo collaborato attivamente con l'onorevole portavoce Sbarbati, che ringraziamo per questo.	Abbiamo collaborato attivamente con chi ha fatto da portavoce, Sbarbati, che ringraziamo per questo.	Abbiamo collaborato attivamente con Sbarbati, portavoce, che ringraziamo per questo.	F
239	ep-en-it-2582	Set-G	In my country, Italy, a teacher colleague of mine who was Catholic by religion but taught in a State school was dismissed because she became pregnant, she did not have an abortion and she was not married.	Nel mio paese, l'Italia, una collega, una professoressa di religione cattolica, che però insegnava nella scuola di Stato, è stata licenziata perché è rimasta incinta, non ha abortito e non era coniugata.	Nel mio paese, l'Italia, una persona mia collega, insegnante di religione cattolica, che però insegnava nella scuola di Stato, ha subito un licenziamento perché ha avuto un gravidanza, non ha abortito e non aveva consorte.	Nel mio paese, l'Italia, una persona con cui ho lavorato, docente di religione cattolica, che però insegnava nella scuola di Stato, ha subito il licenziamento per via di una gravidanza, non ha abortito ed era single.	Nel mio paese, l'Italia, una persona collega che insegna religione cattolica, che però insegnava nella scuola di Stato, è stata licenziata perché è rimasta incinta, non ha abortito e non era coniugata.	F
243	ep-en-it-268	Set-G	Lastly, I would like to stress that this is an area where women entrepreneurs should benefit from special support, and I wish to emphasise that we, the European Parliament, should be calling on the Commission to monitor progress in this field by means of benchmarking and a scoreboard process.	Vorrei ancora osservare e far rilevare che in questo settore anche le donne imprenditrici dovrebbero godere di particolare sostegno e chiedo al Parlamento di sollecitare la Commissione ad accompagnare i progressi in questo ambito attraverso un processo di benchmarking e di score-board.	Vorrei ancora osservare e far rilevare che in questo settore anche le persone che fanno impresa dovrebbero godere di particolare sostegno e chiedo al Parlamento di sollecitare la Commissione ad accompagnare i progressi in questo ambito attraverso un processo di benchmarking e di score-board.	Vorrei ancora osservare e far rilevare che in questo settore anche chi fa impresa dovrebbe godere di particolare sostegno e chiedo al Parlamento di sollecitare la Commissione ad accompagnare i progressi in questo ambito attraverso un processo di benchmarking e di score-board.	Vorrei ancora osservare e far rilevare che in questo settore anche le persone imprenditrici dovrebbero godere di particolare sostegno e chiedo al Parlamento di sollecitare la Commissione ad accompagnare i progressi in questo ambito attraverso un processo di benchmarking e di score-board.	F
255	ep-en-it-3209	Set-G	Even when this is relaxed, as we hope it soon will be, she will be far from free as we are now wearily familiar with the array of wholly unjustified restrictions on her freedom of movement.	Anche quando la situazione si allenterà, e ci auguriamo che ciò accada presto, sarà ben lungi dall'essere libera, data la lunga serie di restrizioni assolutamente ingiustificate alla sua libertà di movimento.	Anche quando la situazione si allenterà, e ci auguriamo che ciò accada presto, sarà ben lungi dalla libertà, data la lunga serie di restrizioni assolutamente ingiustificate alla sua libertà di movimento.	Anche quando la situazione si allenterà, e ci auguriamo che ciò accada presto, sarà ben lungi dall'essere esente da limitazioni, data la lunga serie di restrizioni assolutamente ingiustificate alla sua libertà di movimento.	Anche quando la situazione si allenterà, e ci auguriamo che ciò accada presto, sarà ben lungi dall'essere una persona libera, data la lunga serie di restrizioni assolutamente ingiustificate alla sua libertà di movimento.	F
259	ep-en-it-3494	Set-G	I would also support the representative when she explains the need to make sure that the right to an affordable filtering system is guaranteed.	Peraltro, tengo ad appoggiare la rappresentante allorché precisa che bisogna adoperarsi affinché il diritto di disporre di un sistema di filtraggio ad un prezzo accessibile sia garantito.	Peraltro, tengo ad appoggiare la figura rappresentante allorché precisa che bisogna adoperarsi affinché il diritto di disporre di un sistema di filtraggio ad un prezzo accessibile sia garantito.	Peraltro, tengo ad appoggiare la persona che fa da rappresentante allorché precisa che bisogna adoperarsi affinché il diritto di disporre di un sistema di filtraggio ad un prezzo accessibile sia garantito.	Peraltro, tengo ad appoggiare la persona rappresentante allorché precisa che bisogna adoperarsi affinché il diritto di disporre di un sistema di filtraggio ad un prezzo accessibile sia garantito.	F
263	ep-en-it-3673	Set-G	The Polish women were very grateful to us for making it clear that the report most definitely did not reflect their views.	Le donne polacche ci sono state assai grate per aver sottolineato che il resoconto non ha rispecchiato la loro posizione.	I soggetti polacchi ci sono stati assai grati per aver sottolineato che il resoconto non ha rispecchiato la loro posizione.	Gli individui della Polonia ci hanno espresso la loro notevole gratitudine per il fatto di aver sottolineato che il resoconto non ha rispecchiato la loro posizione.	Le persone polacche ci sono state assai grate per aver sottolineato che il resoconto non ha rispecchiato la loro posizione.	F
