ID	Europarl_ID	SET	SRC	REF-G	REF-N	COMMON	GENDER
19	ep-en-it-11047	Set-G	She has already visited Sarajevo, she has attended an informal regional meeting in Skopje and she has also been to Moscow.	Si è già recata in visita a Sarejevo, ha partecipato a una riunione regionale informale a Skopje e si è anche recata a Mosca.	Ha già fatto visita a Sarejevo, ha partecipato a una riunione regionale informale a Skopje e ha fatto anche visita a Mosca.	no	F
20	ep-en-it-11051	Set-G	I hope that President Kostunica will steadily consolidate her position as the new democratic leadership in the Federal Republic of Yugoslavia at all political levels.	Spero che la Presidente Kostunica consoliderà progressivamente la sua posizione in quanto nuova leadership democratica a tutti i livelli politici nella Repubblica federale di Iugoslavia.	Spero che la Presidenza nella persona di Kostunica consoliderà progressivamente la sua posizione in quanto nuova leadership democratica a tutti i livelli politici nella Repubblica federale di Iugoslavia.	no	F
21	ep-en-it-11153	Set-G	I should like to mention that the President of the Republic will be accompanied, as is usually the case, by her delegation.	Aggiungo che la Presidente della Repubblica sarà accompagnata, com'è tradizione, dalla sua delegazione.	Aggiungo che, com'è tradizione, ad accompagnare chi ha la carica di Presidente della Repubblica sarà la sua delegazione.	no	F
22	ep-en-it-11155	Set-G	I have been informed that Mrs Ferrero-Waldner intends to come and I will be only too pleased to see her.	Mi dicono che la signora Ferrero-Waldner verrà e sarà mio piacere riceverla.	Mi dicono che Ferrero-Waldner verrà e l'accoglierò con piacere.	yes	F
23	ep-en-it-11198	Set-G	I do not know, especially as it is the Commissioner for Agriculture, Rural Development and Fisheries, Mrs Franz Fischler who is negotiating this Fisheries Agreement.	Non so, tanto più che è la Commissaria per l'agricoltura e la pesca, Franz Fischler a negoziare questo accordo di pesca.	Non so, tanto più che è la figura della Commissione responsabile per l'agricoltura e la pesca, Franz Fischler a negoziare questo accordo di pesca.	no	F
24	ep-en-it-11204	Set-G	Anyway, allow me to say that Commissioner Fischler is neither Mediterranean nor is she from the Atlantic, and what is more we are unfortunate enough to have a Director-General for Fisheries who is from the north Atlantic and only learnt about fisheries problems when she was recently appointed to that post.	Mi permetta comunque di dire che la Commissaria Fischler non è mediterranea né tantomeno atlantica e, inoltre, che abbiamo la disgrazia di avere una Direttrice generale della pesca che proviene dall'Atlantico settentrionale e che è venuta a conoscenza dei problemi della pesca nel momento in cui è stata nominata per questo incarico.	Mi permetta comunque di dire che Fischler, rappresentante della Commissione, non è di origine mediterranea né tantomeno atlantica e, inoltre, che abbiamo la disgrazia di avere alla Direzione generale della pesca una figura che proviene dall'Atlantico settentrionale e che ha ricevuto informazioni sui problemi della pesca al momento della nomina per questo incarico.	no	F
25	ep-en-it-11228	Set-G	I have a letter from another constituent of mine who draws to my attention that she has been in prison since 28 March 2000 on similar suspicion.	Ho ricevuto una lettera da un'altra mia concittadina che porta alla mia attenzione che lei si trova in carcere dal 28 marzo 2000 per simili sospetti.	Ho ricevuto una lettera da qualche altra persona mia connazionale che porta alla mia attenzione la sua detenzione in carcere dal 28 marzo 2000 per simili sospetti.	no	F
26	ep-en-it-1128	Set-G	We need to make use of all the information possibilities that Commissioner Verheugen spoke of in her very reflective and elegant speech today.	Dobbiamo usufruire di tutte le possibilità sul piano dell'informazione alle quali ha fatto riferimento la Commissaria Verheugen nel suo intervento estremamente riflessivo ed elegante di oggi.	Dobbiamo usufruire di tutte le possibilità sul piano dell'informazione alle quali ha fatto riferimento l'esponente della Commissione Verheugen nel suo intervento estremamente riflessivo ed elegante di oggi.	no	F
27	ep-en-it-11312	Set-G	It would be a good idea for Commissioner Patten, who has a great deal of experience, not to say wisdom, in managing international crises, to add to the visits which she has made to various regions of the Balkans by going to the headquarters of the Agency in Thessaloniki in order to see how this department works.	Visto che la Commissaria Patten ha molta esperienza, per non dire abilità, nel gestire le crisi internazionali, sarebbe opportuno che, dopo le sue numerose visite nelle varie zone dei Balcani, si recasse anche presso la sede dell'Agenzia a Salonicco, per vedere come opera.	Visto che l'esponente della Commissione Patten ha molta esperienza, per non dire abilità, nel gestire le crisi internazionali, sarebbe opportuno che, dopo le sue numerose visite nelle varie zone dei Balcani, si recasse anche presso la sede dell'Agenzia a Salonicco, per vedere come opera.	no	F
28	ep-en-it-11467	Set-G	The Commissioner, when she replied to my report last month, seemed to get her geographical situations slightly mixed up: she did not know whether she was going to Scotland, Ireland or Northern Ireland.	Quando il mese scorso la Commissaria ha replicato alla mia relazione, sembrava aver confuso un po' e varie realtà geografiche: non sapeva se stava andando in Scozia, Irlanda o Irlanda del Nord.	Quando il mese scorso l'esponente della Commissione ha replicato alla mia relazione, sembrava aver confuso un po'e varie realtà geografiche: non sapeva se stava andando in Scozia, Irlanda o Irlanda del Nord.	no	F
29	ep-en-it-11568	Set-G	First and foremost, I would like to compliment the deputy, Mrs Garot, on the fact that she has done her utmost to see if she can do something to help at a time when pig farming is lapsing into crisis.	Desidero innanzitutto congratularmi con la deputata, la onorevole Garot, che ha compiuto sforzi immani per cercare di individuare le possibili modalità di intervento nei momenti di crisi della suinicoltura.	Desidero innanzitutto congratularmi con l'onorevole Garot, che ha compiuto sforzi immani per cercare di individuare le possibili modalità di intervento nei momenti di crisi della suinicoltura.	no	F
30	ep-en-it-11612	Set-G	I welcome the President of the Court of Auditors, Mrs Karlsson, and I immediately give her the floor.	Porgo un caloroso benvenuto alla presidente della Corte dei conti, signora Karlsson, e le do immediatamente la parola.	Porgo un caloroso benvenuto a chi presiede la Corte dei conti, Karlsson, a cui do immediatamente la parola.	no	F
31	ep-en-it-11624	Set-G	When you assumed office, Mrs Schreyer, you assured us that you would strive to achieve this.	Al momento della sua nomina, signora Schreyer, ci aveva promesso che si sarebbe adoperata in tal senso.	Al momento della sua nomina, Schreyer, ci aveva promesso un impegno in tal senso.	yes	F
32	ep-en-it-11708	Set-G	We have met President Prodi and have seen that she has personally taken on the development of the White Paper in accordance with many of the recommendations that have been received year after year from the Court over which Mrs Karlsson so ably presides.	Abbiamo da poco incontrato la Presidente Prodi, la quale ci ha confermato il suo personale impegno a dare attuazione al Libro bianco, conformemente alle molte raccomandazioni che, anno dopo anno, sono pervenute dall'Istituzione che tanto degnamente la signora Karlsson presiede.	Abbiamo da poco incontrato Prodi, titolare della Presidenza, che ci ha confermato il suo personale impegno a dare attuazione al Libro bianco, conformemente alle molte raccomandazioni che, anno dopo anno, sono pervenute dall'Istituzione che tanto degnamente Karlsson presiede.	no	F
33	ep-en-it-11842	Set-G	Madam President, I join the general congratulations to Mrs González Álvarez who has been a sympathetic and inclusive spokesperson.	Signora Presidente, mi associo alle congratulazioni generali alla onorevole Gonzáles Álvarez, che è stata una portavoce comprensiva ed esauriente.	Presidente, mi associo alle congratulazioni generali all'onorevole Gonzáles Álvarez, che ha riferito in maniera comprensiva ed esauriente.	yes	F
34	ep-en-it-11853	Set-G	The Commission has begun to take a tentative but welcome step in that direction and perhaps the Commissioner will say more about that when she replies.	La Commissione ha cominciato a compiere un primo esitante passo, del resto ben accolto, in tale direzione e forse la Commissaria ci dirà di più nella sua risposta.	La Commissione ha cominciato a compiere un primo esitante passo, del resto ben accolto, in tale direzione e forse l'esponente della Commissione ci dirà di più nella sua risposta.	no	F
35	ep-en-it-11867	Set-G	We concur with the rapporteur where she has highlighted the importance of providing information about the risks, and the need for transparency, especially in the sphere of health and safety.	Condividiamo il parere della relatrice che ha posto notevole enfasi sull'informazione in relazione ai rischi e sulla trasparenza, in particolare nel campo sanitario e della sicurezza.	Condividiamo il parere di chi ha presentato la relazione che ha posto notevole enfasi sull'informazione in relazione ai rischi e sulla trasparenza, in particolare nel campo sanitario e della sicurezza.	no	F
36	ep-en-it-11874	Set-G	And this is certainly not the fault of the work carried out by Mrs González Álvarez, who has endeavoured very successfully to improve the legislation under consideration, but is inherent in both the guidelines and parts of the proposal itself.	E questo non certo in relazione al lavoro svolto dalla collega González Álvarez, che si è egregiamente adoperata per migliorare la normativa in esame, quanto per le linee guida e per alcuni contenuti della proposta stessa.	E questo non certo in relazione al lavoro svolto da González Álvarez operante in questa sede al pari nostro, che ha dimostrato impegno per migliorare la normativa in esame, quanto per le linee guida e per alcuni contenuti della proposta stessa.	no	F
37	ep-en-it-11896	Set-G	Then, some years later, when I allowed my second daughter, who is six or seven years younger, to go out on her own, her older sister protested: "You never let me go out on my own and here you are, letting my sister out alone, and she is younger than I was"!	Quando poi, dopo qualche anno, ho autorizzato invece la mia seconda figlia, più piccola di sei o sette anni, ad andare in giro da sola, la sorella maggiore ha protestato: "A me non hai permesso di andare in giro da sola; a mia sorella, che è più piccola, invece sì"!	Quando poi, dopo qualche anno, ho autorizzato invece la seconda persona minorenne di cui sono responsabile, più giovane di sei o sette anni, ad andare in giro in autonomia, quella maggiore ha protestato: "A me non hai permesso di andare in giro in autonomia; all'altra persona nata nella stessa famiglia, che è più giovane, invece sì"!	no	F
38	ep-en-it-11923	Set-G	In the hope of seeing the final line taken by the spokesperson endorsed and declaring my support for her regarding the amendments which are to be put to the vote in plenary, I trust that this directive will rapidly continue through the procedures towards the confirmation of the Union's undertaking.	Nella speranza di veder confermata la linea definitiva della portavoce e dichiarando il mio accordo con lei sugli emendamenti ripresentati per il voto della plenaria, mi auguro che questa direttiva prosegua rapidamente il suo iter verso conferma dell'impegno dell'Unione.	Nella speranza di veder confermata la linea definitiva di chi riferisce le posizioni e dichiarando il mio accordo con tale persona sugli emendamenti ripresentati per il voto della plenaria, mi auguro che questa direttiva prosegua rapidamente il suo iter verso conferma dell'impegno dell'Unione.	yes	F
39	ep-en-it-11924	Set-G	First of all I wish to thank the draftsmen, Mrs Rübig and Mrs Lehne, for their very comprehensive report on the proposal for a European Parliament and Council directive on general product safety.	Innanzitutto, vorrei ringraziare le relatrici per parere, le onorevoli Rübig e Lehne, per l'esauriente relazione sulla proposta di direttiva del Parlamento europeo e del Consiglio concernente la sicurezza generale dei prodotti.	Innanzitutto, vorrei ringraziare chi ha compilato la relazione, onorevoli Rübig e Lehne, per l'esauriente relazione sulla proposta di direttiva del Parlamento europeo e del Consiglio concernente la sicurezza generale dei prodotti.	no	F
40	ep-en-it-12039	Set-G	There was a mistake in the original analysis, and that has been corrected now, but I would like the delegate, Mrs Morillon, to briefly comment on these two points.	Nella prima versione si riscontrava un errore che adesso è stato corretto. Gradirei comunque che la delegata, onorevole Morillon, prendesse posizione brevemente sulle due questioni.	Nella prima versione si riscontrava un errore che adesso è stato corretto. Gradirei comunque che la persona delegata, onorevole Morillon, prendesse posizione brevemente sulle due questioni.	no	F
41	ep-en-it-12085	Set-G	I believe that the day when women achieve real financial independence through their work, then they will be truly free and all other inequalities will have disappeared.	Credo che il giorno in cui le donne otterranno con il loro lavoro una reale indipendenza economica, allora saranno davvero libere e tutte le altre disuguaglianze scompariranno.	Credo che il giorno in cui le persone otterranno con il loro lavoro una reale indipendenza economica, allora godranno davvero della libertà e tutte le altre disuguaglianze scompariranno.	yes	F
42	ep-en-it-12133	Set-G	Let us not forget that it was my Labour colleague, Mrs Whitehead, who introduced the amendments exempting charity shops, and we should congratulate her on her achievements.	Non dimentichiamo che si deve alla mia collega laburista, la onorevole Whitehead, l'introduzione di emendamenti che prevedono una deroga per i negozi caritatevoli, e dovremmo congratularci con lei per questo risultato.	Non dimentichiamo che si deve all'onorevole Whitehead, laburista come me, l'introduzione di emendamenti che prevedono una deroga per i negozi caritatevoli, e dovremmo congratularci per il risultato che ha raggiunto.	no	F
43	ep-en-it-12329	Set-G	Madam President, I share at least one certainty with the deputy, Mrs Blokland: incineration may be a significant source of pollution but it is in fact necessary today, given the very low levels of waste recycling.	Signora Presidente, condivido almeno una certezza con la deputata, onorevole Blokland: l'incenerimento è forse una notevole fonte di inquinamento, ma oggi è effettivamente necessario, tenuto conto del basso livello di riciclaggio di rifiuti.	Presidente, condivido almeno una certezza con l'onorevole Blokland: l'incenerimento è forse una notevole fonte di inquinamento, ma oggi è effettivamente necessario, tenuto conto del basso livello di riciclaggio di rifiuti.	no	F
44	ep-en-it-12398	Set-G	This has been largely due to the excellent work of the European Parliament and its rappresentante, Mrs Blokland.	Questo è in gran parte dovuto all'ottimo lavoro del Parlamento europeo e della sua rappresentante, onorevole Blokland.	Questo è in gran parte dovuto all'ottimo lavoro del Parlamento europeo e di chi lo rappresenta, onorevole Blokland.	no	F
45	ep-en-it-12436	Set-G	I should like to end by stressing that our distinguished spokesperson, Mrs Rocard, took extensive account of the scientific observations and many of the suggestions in my opinion.	In conclusione vorrei sottolineare che la nostra ottima portavoce, onorevole Rocard, ha tenuto ampiamente conto delle indicazioni scientifiche e di molti elementi del mio parere.	In conclusione vorrei sottolineare che l'onorevole Rocard, che ci ha fatto ottimamente da portavoce, ha tenuto ampiamente conto delle indicazioni scientifiche e di molti elementi del mio parere.	no	F
46	ep-en-it-12437	Set-G	I should also like to thank my fellow members, Mrs Pronk and Mrs Karas, for their valuable contribution to the final report.	Desidero ringraziare le colleghe onorevoli Pronk e Karas per la preziosa collaborazione offerta nel preparare la relazione.	Desidero ringraziare Pronk e Karas, di cui sono collega, per la preziosa collaborazione offerta nel preparare la relazione.	no	F
47	ep-en-it-12520	Set-G	Madam President, I should also like to congratulate the deputy on her own-initiative report, particularly because it is precisely that: an own-initiative report.	Signora Presidente, vorrei anch'io congratularmi con la deputata per la sua relazione d'iniziativa, soprattutto perché proprio di questo si tratta: di una relazione elaborata di sua iniziativa.	Presidente, vorrei anch'io congratularmi con l'onorevole per la sua relazione d'iniziativa, soprattutto perché proprio di questo si tratta: di una relazione elaborata di sua iniziativa.	no	F
48	ep-en-it-12532	Set-G	Madam President, I am sure that the rapporteur, Mrs Rocard, means well, but to me she resembles a woman tiptoeing along a tightrope.	Signora Presidente, pur sapendo che la onorevole Rocard aveva le migliori intenzioni, ho avuto l'impressione che la relatrice camminasse sulla fune.	Presidente, pur sapendo che l'onorevole Rocard aveva le migliori intenzioni, ho avuto l'impressione che nella sua relazione camminasse sulla fune.	no	F
49	ep-en-it-12550	Set-G	I have to say, even, that to my eyes, Mrs President, you resemble a chief physician, with a white coat, stethoscope and hammer to test reflexes.	Debbo dire, anzi, che lei, Presidente, mi sembra una primaria d'ospedale, col camice bianco, lo stetoscopio e il martello per testare i riflessi.	Debbo dire, anzi, che lei, Presidente, mi sembra chi dirige un reparto d'ospedale, col camice bianco, lo stetoscopio e il martello per testare i riflessi.	no	F
50	ep-en-it-12560	Set-G	So I am glad that the delegate has been willing to move from her categorical demand for a directive to an in-depth analysis in the form of a Green Paper.	Pertanto sono lieto che la delegata abbia accettato di soprassedere all'insistente richiesta di una direttiva per attendere un'analisi dettagliata sotto forma di Libro verde.	Pertanto mi rallegra il fatto che la persona delegata abbia accettato di soprassedere all'insistente richiesta di una direttiva per attendere un'analisi dettagliata sotto forma di Libro verde.	no	F
51	ep-en-it-12744	Set-G	The former Commissioner, Mrs MacSharry, justified this criminal silence by claiming that the beef sector must not be put at risk.	L'ex Commissaria MacSharry giustificava in tal modo questo silenzio colpevole, sostenendo che non si doveva mettere a repentaglio il settore bovino.	MacSharry, in passato già esponente della Commissione, giustificava in tal modo questo silenzio colpevole, sostenendo che non si doveva mettere a repentaglio il settore bovino.	no	F
52	ep-en-it-12780	Set-G	I am sorry that the Commissioner responsible for agriculture is not here and that she does not have the courage to face us and to explain that it is necessary to completely overhaul the common agricultural policy.	Mi rammarico che la Commissaria responsabile per l'agricoltura non sia presente e che non abbia il coraggio di affrontarci e di spiegare che è necessario modificare completamente la politica agricola.	Mi rammarico che l'esponente della Commissione responsabile per l'agricoltura non sia presente e che non abbia il coraggio di affrontarci e di spiegare che è necessario modificare completamente la politica agricola.	no	F
53	ep-en-it-12817	Set-G	Madam President, I want to thank Commissioner Byrne for her customary vigilance and also the French Minister for her presence today.	Signora Presidente, desidero ringraziare la Commissaria Byrne per la sua consueta vigilanza, nonché la Ministra francese per la sua presenza di oggi.	Presidente, desidero ringraziare Byrne, esponente della Commissione, per la sua consueta vigilanza, nonché titolare del Ministero francese per la sua presenza di oggi.	no	F
54	ep-en-it-12829	Set-G	Commissioner Byrne did not say very much today, as she was widely trailed to have done, about testing.	La Commissaria Byrne non ha precisato molto oggi sui controlli, come invece era stata ampiamente invitata a fare.	L'esponente della Commissione Byrne non ha precisato molto oggi sui controlli, come richiedeva invece il nostro invito esplicito.	no	F
55	ep-en-it-12936	Set-G	Commissioner Byrne was very strong today in her opening statement when she said to the House that she was prepared to look at this matter of meat-and-bone meal and take it on.	Oggi la Commissaria Byrne ha dimostrato grande determinazione nella sua dichiarazione iniziale, quando ha detto al Parlamento che era disposta ad esaminare la questione delle farine animali e a farsene carico.	Oggi l'esponente della Commissione Byrne ha dimostrato grande determinazione nella sua dichiarazione iniziale, quando ha confermato al Parlamento la sua disponibilità ad esaminare la questione delle farine animali e a farsene carico.	no	F
56	ep-en-it-12957	Set-G	Mrs Martinez took part in the first one, and right here I have, if my fellow Member would care to consult it, her minority opinion, which was expressed in writing at the time of the Böge committee.	La onorevole Martinez ha partecipato alla prima e ho proprio qui a disposizione della collega il suo parere minoritario formulato per iscritto in occasione della prima commissione, la commissione Böge.	L'onorevole Martinez ha partecipato alla prima e ho proprio qui a sua disposizione il suo parere minoritario formulato per iscritto in occasione della prima commissione, la commissione Böge.	no	F
57	ep-en-it-13059	Set-G	Madam President, I would first of all like to thank our representative and welcome the initiative she has taken to engage in dialogue with the Council and the Commission immediately following this first reading in order to work towards ensuring that better consideration is given to the amendments desired by Parliament.	Signora Presidente, vorrei innanzi tutto ringraziare la nostra rappresentante e congratularmi per la sua iniziativa di avviare il dialogo con Consiglio e Commissione fin da questa prima lettura, in modo che gli emendamenti presentati dal Parlamento vengano accolti nella misura più ampia possibile.	Presidente, vorrei innanzi tutto ringraziare chi ci sta rappresentando e congratularmi per la sua iniziativa di avviare il dialogo con Consiglio e Commissione fin da questa prima lettura, in modo che gli emendamenti presentati dal Parlamento vengano accolti nella misura più ampia possibile.	yes	F
58	ep-en-it-13081	Set-G	I wish to congratulate the deputy for her great commitment in dealing with this report on a programme of Community action for combating social exclusion in which poverty can be an important factor.	Desidero congratularmi con la deputata per il grande impegno dedicato a questa relazione su un programma d'azione comunitaria inteso a combattere l'esclusione sociale, in cui la povertà può costituire un importante fattore.	Desidero congratularmi con l'onorevole per il grande impegno dedicato a questa relazione su un programma d'azione comunitaria inteso a combattere l'esclusione sociale, in cui la povertà può costituire un importante fattore.	yes	F
59	ep-en-it-13145	Set-G	Madam President, I congratulate the delegate on her excellent contribution to identifying the causes and the scale of poverty, which is an appropriate term for a social reality whose cruelty should not be watered down into a concept as wide-ranging and abstract as social exclusion.	Signora Presidente, mi congratulo con la delegata per il suo eccellente lavoro volto ad individuare le cause e le dimensioni della povertà, termine appropriato per una realtà sociale la cui durezza non si può attenuare in un concetto ampio e, al tempo stesso, astratto come quello di esclusione sociale.	Presidente, mi congratulo con la persona delegata per il suo eccellente lavoro volto ad individuare le cause e le dimensioni della povertà, termine appropriato per una realtà sociale la cui durezza non si può attenuare in un concetto ampio e, al tempo stesso, astratto come quello di esclusione sociale.	yes	F
60	ep-en-it-1318	Set-G	The current Prime Minister, Mugur Isarescu, is herself on secondment from the Central Bank and therefore has excellent relationships with the international financial institutions.	L'attuale prima ministra, Mugur Isarescu, gode dell'appoggio della Banca centrale e intrattiene eccellenti rapporti con le istituzioni finanziarie internazionali.	L'attuale premier, Mugur Isarescu, gode dell'appoggio della Banca centrale e intrattiene eccellenti rapporti con le istituzioni finanziarie internazionali.	no	F
61	ep-en-it-13263	Set-G	We see it as building on the work of our colleague, Mrs Mombaur, in advocating a greater share of electricity and energy in the European Union from these sources.	La consideriamo un ulteriore sviluppo sulla base del lavoro della nostra collega, l'onorevole Mombaur, nel sostenere la produzione da tali fonti di una maggiore quota di elettricità e di energia nell'Unione europea.	La consideriamo un ulteriore sviluppo sulla base del lavoro dell'onorevole collega Mombaur, nel sostenere la produzione da tali fonti di una maggiore quota di elettricità e di energia nell'Unione europea.	no	F
62	ep-en-it-13275	Set-G	I would say to my colleague, Mrs McNally, that she paints a pretty picture of windmills in the sea, but I must tell her that the engineering difficulties and the costs involved make that technology, as with electricity from the sun, rather a long way off in the future.	Vorrei dire alla collega, la onorevole McNally, che dipinge una bella immagine di mulini a vento in mare aperto, che le difficoltà di progettazione e i costi derivanti allungano notevolmente nel futuro i tempi di realizzazione di tale tecnologia, così come la produzione di energia elettrica a partire dall'energia solare.	Vorrei dire all'onorevole collega McNally, che dipinge una bella immagine di mulini a vento in mare aperto, che le difficoltà di progettazione e i costi derivanti allungano notevolmente nel futuro i tempi di realizzazione di tale tecnologia, così come la produzione di energia elettrica a partire dall'energia solare.	yes	F
