seed	sentence	label	stereotype
matron	Evening--me in my room--the setting sun, The setting summer sun shining in my open window, showing the swarm of flies, suspended, balancing in the air in the centre of the room, darting athwart, up and down, casting swift shadows in specks on the opposite wall where the shine is; The athletic American matron speaking in public to crowds of listeners, Males, females, immigrants, combinations, the copiousness, the individuality of the States, each for itself--the moneymakers, Factories, machinery, the mechanical forces, the windlass, lever, pulley, all certainties, The certainty of space, increase, freedom, futurity, In space the sporades, the scatter'd islands, the stars--on the firm earth, the lands, my lands, O lands!	unambiguous_female	-
bartender	I laid a tenspot on the bar and motioned to the bartender to serve a round .	ambiguous	neutral
daughter	Then the king's daughter said to the baby's mother, "Take this child away and nurse it for me, and I will give thee wages."	unambiguous_female	-
priest	The marine slumped forward into a bow like a priest before an idol .	ambiguous	m
trainman	The trainman called .	unambiguous_male	-
captain	Struggles of many a captain, tales of many a sailor dead, Over my mood stealing and spreading they come, Like clouds and cloudlets in the unreach'd sky.	ambiguous	m
man	In the last decade the number of Negro-appeal radio program hours has risen at least 15 per cent , and the number of Negro-appeal stations has increased 30 per cent , according to a research man quoted by Sponsor .	unambiguous_male	-
employee	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ? ?	ambiguous	neutral
student	Of course , it goes without saying that no student of ideas can justifiably ignore the contemporary scene .	ambiguous	neutral
singer	The singers of successive hours of centuries may have ostensible names, but the name of each of them is one of the singers, The name of each is, eye-singer, ear-singer, head-singer, sweet-singer, night-singer, parlor-singer, love-singer, weird-singer, or something else.	ambiguous	neutral
sister	I have lately returned from a journey among our sister Republics of the Western Hemisphere.	unambiguous_female	-
mechanic	Nevertheless , it will seem funny to have to send for a mechanic to improve conversation .	ambiguous	m
ma'am	"No, ma'am," said the gardener, "nor I don't know when, if ever, the man will bring home those mats you bespoke, ma'am."	unambiguous_female	-
wife	"I should like to make them some pretty clothes," said the wife, "they are quite naked."	unambiguous_female	-
men	It is incomparably great in its material aspects, in its body of wealth, in the diversity and sweep of its energy, in the industries which have been conceived and built up by the genius of individual men and the limitless enterprise of groups of men.	unambiguous_male	-
count	What is the count of the scores or hundreds of years between us?	unambiguous_male	-
servant	But in another sense, our new beginning is a continuation of that beginning created two centuries ago when, for the first time in history, government, the people said, was not our master, it is our servant; its only power that which we the people allow it to have.	ambiguous	neutral
men	Younger men usually don't think of pensions as an important job benefit factor anyhow and they're liable to change jobs several times before settling down .	unambiguous_male	-
dancer	Even if gymnastics are not the ultimate goal , the good tumbler will be a better dancer , a better athlete , and a human being with a greater margin of safety in any activity .	ambiguous	f
woman	The moment I walked in , the whole miserable feeling of the day seemed to focus on the woman in the bed .	unambiguous_female	-
gal	`` Come spring , you'll be kicking up your heels and feeling coltish again too , gal '' .	unambiguous_female	-
mother	Your worship, I have no mother; I have no wife.	unambiguous_female	-
woman	There was a very old man and a young woman and a brood of children ranging from toddlers to teen-agers .	unambiguous_female	-
female	Toward the male of the States, and toward the female of the States, Exulting words, words to Democracy's lands.	unambiguous_female	-
mother	When the larvae hatch , they feed on the beebread , although they also receive extra honey meals from their mother .	unambiguous_female	-
girl	It is also important to realize that many girls are born without a hymen or at most only a tiny trace of one ; ; so that the absence of the hymen is by no means positive proof that a girl has had sex relations .	unambiguous_female	-
alderman	The bottle containing our declaration, doctrines, and dying sentiments was washed up on Margate beach yesterday in the presence of one alderman, two bathing-machine men, three policemen, seven doctors, and a hundred and thirteen London clerks on a holiday, to all of whom, whether directly or indirectly, our composition gave enormous literary pleasure.	unambiguous_male	-
author	Each song or ditty was prefaced by an author's note which indicated the origin and meaning of the song as well as special interest the song had , musical arrangement , and most of the chorus and verses .	ambiguous	neutral
wife	Never in my life have I felt so remorseful about anything I've done as I did about spending that night with my own wife .	unambiguous_female	-
missionary	The uncounted isles of all Polynesia confess the same truth, and do commercial homage to the whale-ship, that cleared the way for the missionary and the merchant, and in many cases carried the primitive missionaries to their first destinations.	ambiguous	neutral
collector	"Well," growled the detective, "and so this great numismatist and coin-collector was nothing but a vulgar miser."	ambiguous	neutral
writer	Fair-priced funeral to the editor : I disagree with the writer who says funeral services should be government-controlled .	ambiguous	neutral
citizen	At the national and international level , then , what is the highest kind of morality for the private citizen represents an instance of political immorality .	ambiguous	neutral
maid	I'm going to become a good nurse , and I've got two baby brothers that are going to have college if I have to work at my profession until I'm an old maid to give it to them '' .	unambiguous_female	-
women	Both men and women of twenty-one years of age could register and vote upon presenting proof of residence and identification .	unambiguous_female	-
women	The men and women of this country who toil are the ones who bear the cost of the Government.	unambiguous_female	-
boy	`` Do you have a boy friend '' ? ?	unambiguous_male	-
husband	However, I got a very good husband, and I don't know what the greatest beauty can do more.	unambiguous_male	-
student	Getting elected president of the student body took a lot of time and politicking .	ambiguous	neutral
women	Luckily both women knew my position and if anyone suffered in their opinion it was not I '' .	unambiguous_female	-
girl	For example , the unwed mothers expressed their frustration with males who did not indicate more explicitly `` what it is they really want from a girl so one can act accordingly '' .	unambiguous_female	-
woman	From the day of our Founding, we have proclaimed that every man and woman on this earth has rights, and dignity, and matchless value, because they bear the image of the Maker of Heaven and earth.	unambiguous_female	-
philosopher	We say that the most dangerous criminal now is the entirely lawless modern philosopher.	ambiguous	m
woman	It raced closer and they could see a woman with white hair , sitting astride an upright branch .	unambiguous_female	-
lady	Moreover , because of the particular blot on your family escutcheon through what may only have been one unbridled moment on your grandmother's part , and because you had the lean-to kitchen and trundle bed of your childhood to outgrow , what you obviously most desired with both your conscious and unconscious person , what you bent your whole will , sensibility , and intelligence upon , was to be a lady .	unambiguous_female	-
widow	In the last and straggliest of those streets which runs along the sea like a sea-wall there is a very honest but rather sharp-tempered member of my flock, a widow called MacNab.	unambiguous_female	-
priest	Turn the bed-clothes toward the foot of the bed, Let the physician and the priest go home.	ambiguous	m
bag	They went shopping in the neighborhood , and bought two loaves of bread with the ration coupons they had been given in Blois , and some cheese , and a dozen eggs , and a bag of oranges from a peddler in the Place Redoute -- the first oranges they had seen since they landed .	unambiguous_female	-
men	Arriving just in time to stop men from turning their planet into a radioactive wasteland , the Overlords unite earth into one world in which justice , order , and benevolence prevail and ignorance , poverty , and fear have ceased to exist .	unambiguous_male	-
priest	The golden-haired people had a great chieftain who was also a kind of high priest, who was called the Dagda.	unambiguous_male	-
father	A father and son dinner sponsored by the Men's Club will be held at 6:15 p.m. Monday and the annual church picnic at 4 p.m. next Saturday .	unambiguous_male	-
employee	An engineer had been made the works manager of a firm , supplanting a retired employee who had been considered outstandingly successful .	ambiguous	neutral
men	But it is the wooden sculpture from Bali , the one representing two men with their heads bent backward and their bodies interlaced by a fish , that I particularly call to your attention .	unambiguous_male	-
father	"That is what you have in your head, I know--and what you would certainly say if my father were not by."	unambiguous_male	-
attorney	An assistant attorney general is directed to investigate .	ambiguous	neutral
man	More believed that a man could be both serious and gay .	unambiguous_male	-
author	[*The author has seen a pair of shoes, such as here described, made in a few hours.]	ambiguous	neutral
artist	The play's device is to explore society's obsession with disaster and violence through the eyes of a group of artist's models who remain part of someone else's painting rather than just be themselves .	ambiguous	neutral
nurse	Follow-up visits of the nurse and social worker indicated continued success in the care of the new babies as well as a marked improvement in the family's day-to-day mental health and social functioning .	ambiguous	f
biologist	There are , so my biologist friends tell me , mechanisms of adaptation and defense that are just too complete and too satisfactory .	ambiguous	neutral
town	Then I calculated that a million peas would just about fill a household refrigerator ; ; a billion peas would fill a small house from cellar to attic ; ; a trillion peas would fill all the houses in a town of about ten thousand people ; ; and a quadrillion peas would fill all the buildings in the city of Philadelphia .	unambiguous_male	-
page	Building plans are on page 21 .	unambiguous_male	-
butcher	"It must be brought up before night-fall for the butcher, remember."	ambiguous	m
girl	The wife is likely to be young , sophisticated , smart as a whip -- often a girl who has sacrificed a promising career for marriage .	unambiguous_female	-
men	By counting the number of stalls and urinals I attempted to form a loose estimate of how many men the hall would hold at one time .	unambiguous_male	-
woman	Unfortunately , the man and woman were not made to appear very interesting at the outset and the menacing figures failed to make them any more so .	unambiguous_female	-
servant	I am their servant and can succeed only as they sustain and guide me by their confidence and their counsel.	ambiguous	neutral
fellow	called out the Duke sharply; "that fellow's disappeared.	unambiguous_male	-
bag	They had a large canvas bag, which tied up at the mouth with strings: into this they slipped the guinea-pig, head first, and then sat upon it.)	unambiguous_female	-
soldier	"The soldier must be calm in the thick of the battle," pursued the policeman.	ambiguous	m
president	Mailing the questionnaire Each questionnaire was mailed with a cover letter addressed personally to the president or other executive of each firm .	ambiguous	m
stylist	In all fairness , there were flashes of the great stylist of yesteryear , flashes even of the old consummate vocalism .	ambiguous	f
king	And fashion is the real king here .	unambiguous_male	-
consultant	The reference coordinator at headquarters also serves as a consultant , and is available to work with the local librarian in helping to strengthen local reference service .	ambiguous	neutral
receptionist	All applicants were generally familiar with the work of the receptionist .	ambiguous	f
fellow	What a blunt fellow is this growne to be?	unambiguous_male	-
women	Librarians , a patient breed of men and women who have borne much with dedication , can begin to see results today .	unambiguous_female	-
man	But the problem is one which gives us the measure of a man , rather than a group of men , whether a group of doctors , a group of party members assembled at a dinner to give their opinion , or the masses of the voters .	unambiguous_male	-
women	One is so accustomed to think of men as the privileged who need but ask and receive , and women as submissive and yielding , that our sympathies are usually enlisted on the side of the man whose love is not returned , and we condemn the woman as a coquette .	unambiguous_female	-
father	Hatless , in an overcoat of rough blue wool , I was given a proud farewell by my mother and father , and I set out into the strangely still streets of Brooklyn .	unambiguous_male	-
architect	It celebrates the unknown architect who designed the temple of Neptune at Paestum , next to the Parthenon the noblest example of Grecian classic style now in existence .	ambiguous	m
guy	When I say move , a guy moves '' ! !	unambiguous_male	-
man	The first half of this century has been marked by unprecedented and brutal attacks on the rights of man, and by the two most frightful wars in history.	unambiguous_male	-
philosopher	True reality , of course , is the ideal , and the poet knows nothing of this ; ; only the philosopher knows the truth .	ambiguous	m
women	They had white skins and blue eyes ; ; all their men were bearded , and many of their women were beautiful .	unambiguous_female	-
man	The man went over without sound , falling to the bare floor .	unambiguous_male	-
president	Quite the contrary , as I can testify from personal experience as a former university president .	ambiguous	m
nurse	An interne , a nurse and two attendants were in charge of us .	ambiguous	f
hostess	Your crime is committed by every fashionable hostess six times a week: and yet you find it sticks to your tongue like a nameless atrocity."	unambiguous_female	-
captain	I want the captain in charge .	ambiguous	m
town	Rhode Island law specifies that all real estate is taxable in the town in which it is situated .	unambiguous_male	-
president	If the railroads , for example , regularly slaughtered 25,000 passengers each year , the high priests of the cult would have cause to tremble for their personal safety , for such a holocaust would excite demands for the hanging of every railroad president in the United States .	ambiguous	m
stepmother	The stepmother , almost without exception , has been presented as a cruel ogress .	unambiguous_female	-
town	Oh what a multitude they seemed, these flowers of London town!	unambiguous_male	-
wife	`` Your wife isn't going to join you -- later '' ? ?	unambiguous_female	-
butler	They stationed themselves in a back parlour which opened on a passage leading to the butler's pantry, where the plate was kept.	ambiguous	m
father	THE CHIMNEY-SWEEPER When my mother died I was very young, And my father sold me while yet my tongue Could scarcely cry "Weep! weep!	unambiguous_male	-
girl	They picked up sticks and hurled them at the girl .	unambiguous_female	-
woman	Men who have escaped death by a hair have it, and men whose love is returned by a woman unexpectedly, and men whose sins are forgiven them.	unambiguous_female	-
woman	I saw that woman's apron behind the door .	unambiguous_female	-
uncle	`` Uncle Sam '' was , indeed , a rich uncle to Prokofieff , in those opulent , post-war victory years of peace and prosperity , bold speculations and extravaganzas , enjoyment and pleasure : `` The Golden Twenties '' .	unambiguous_male	-
wanton	For it was set apart and sanctified to one awe-striking end; and however wanton in their sailor ways, one and all, the mariners revered it as the white whale's talisman.	unambiguous_female	-
citizen	In a republic the first rule for the guidance of the citizen is obedience to law.	ambiguous	neutral
dog	This face is a dog's snout sniffing for garbage, Snakes nest in that mouth, I hear the sibilant threat.	unambiguous_male	-
priest	"I hate your priest and I deny your God!" cried the man, "and I tell you God is a lie and a fable and a mask.	unambiguous_male	-
men	It is the force in the universe that makes men love goodness , even when they turn away from it .	unambiguous_male	-
fellow	Genius is free to announce its inventions and discoveries, and the hand is free to accomplish whatever the head conceives not incompatible with the rights of a fellow-being.	unambiguous_male	-
boy	`` Being Jewish gives you tremendous drive '' , a boy remarked .	unambiguous_male	-
fellow	And now, fellow-citizens, I am about to assume the great trust which you have committed to my hands.	unambiguous_male	-
women	But the rain came more heavily , and men and women in light summer clothes began to depart .	unambiguous_female	-
sir	`` Yes sir '' .	unambiguous_male	-
girl	To me Lilly was a fine and lovely girl .	unambiguous_female	-
mother	My mother was deeply religious .	unambiguous_female	-
emperor	Later , we shall see what happened when an emperor took this idea too literally .	unambiguous_male	-
pastor	And some needs and hurts are so deep they will only respond to a mentor's touch or a pastor's prayer.	ambiguous	m
men	Do you not think these men might choose the black flag here and now '' ? ?	unambiguous_male	-
fisherman	Behind it a cabin cruiser drifted crossways in the small ground-swell , a lone fisherman in the chair aft .	unambiguous_male	-
queen	Quite the queen of the evening!--Well, here we are at the passage.	unambiguous_female	-
sir	`` Pardon me , sir .	unambiguous_male	-
women	The women by remaining behind condemned their children , born and unborn , to bondage .	unambiguous_female	-
page	The Dupont case ( Editorial comment on this letter appears elsewhere on this page ) .	unambiguous_male	-
ladies	Many high school students go past my house every day , and they look like perfect ladies and gentlemen .	unambiguous_female	-
writer	`` As a writer , by what have I been obsessed these last ten years , if not by mankind ? ?	ambiguous	neutral
boy	Ah ha boy, sayest thou so.	unambiguous_male	-
barber	`` Why don't you paint it red and white like a barber pole '' ? ?	ambiguous	m
servant	It is the story of a new world that became a friend and liberator of the old, a story of a slave-holding society that became a servant of freedom, the story of a power that went into the world to protect but not possess, to defend but not to conquer.	ambiguous	neutral
men	Betting men forecasting economic activity is a hazardous undertaking even for the specialist .	unambiguous_male	-
musician	This time as a musician .	ambiguous	neutral
girl	A man and a girl happen to meet ; ; they look straight at the audience , not at each other .	unambiguous_female	-
women	Soon there was the sound of talk and laughter, and a train of beautiful women came down to the water's edge.	unambiguous_female	-
girl	In American romance , almost nothing rates higher than what the movie men have called `` meeting cute '' -- that is , boy-meets-girl seems more adorable if it doesn't take place in an atmosphere of correct and acute boredom .	unambiguous_female	-
page	Rectangular tiles ( opposite page , right top ) : Stoneware clay was used .	unambiguous_male	-
man	In hunger stimulates man too the situation is very similar .	unambiguous_male	-
daughter	There can be no doubt of your being a gentleman's daughter, and you must support your claim to that station by every thing within your own power, or there will be plenty of people who would take pleasure in degrading you."	unambiguous_female	-
woman	***Near Kells, in Ireland, there is a round tower, which was in imminent danger of being pulled down by an old woman's rooting at its foundation, in hopes of finding treasure.]	unambiguous_female	-
boy	`` You catchee boy-furiendo ? ?	unambiguous_male	-
philosopher	The artist , unlike the philosopher , is not a removed observer aiming at neutral and rarified high levels of abstraction .	ambiguous	m
women	Evidently Bill was another of those men who simply don't understand women .	unambiguous_female	-
baggage	But I thought, may be, you had both gone off and locked your baggage in for safe keeping.	unambiguous_female	-
man	`` It would be like fighting the French and Indian War all over again '' , said one military man .	unambiguous_male	-
men	This has become more difficult in a world where change and growth seem to tower beyond the control and even the judgment of men.	unambiguous_male	-
man	Our Founding Fathers, faced with perils that we can scarcely imagine, drafted a charter to assure the rule of law and the rights of man, a charter expanded by the blood of generations.	unambiguous_male	-
artist	Nevertheless I consider it reasonable , because of my commitment as an artist , to assume that the rights and responsibilities of creative individuals are related to humanity as a whole rather than to specific geo-political interests .	ambiguous	neutral
sir	Well , sir they did real great ! !	unambiguous_male	-
women	I suppose I should have paid attention to that half-murmured remark , but it seemed one of those extreme statements women under stress indulge in .	unambiguous_female	-
actor	"I am an actor; and if I ever had a private character, I have forgotten it.	ambiguous	m
aunt	"I was sent from Scotland to stop with my aunt.	unambiguous_female	-
secretary	Working for peace Recently the secretary of the Friends Committee on National Legislation was interviewed on the air .	ambiguous	f
captain	The captain of a penny steamer (if I remember correctly) at Southend.	ambiguous	m
author	To the extent that a tale is twice told , its final author must be suspect , although plagiarism in an oral tradition is less a misdemeanor than the standard modus dicendi .	ambiguous	neutral
men	Did men become perfectionists as they grew older , polishing , polishing , reluctant to let go ? ?	unambiguous_male	-
town	This town should not be confused with Pawtucket , just north of Providence , or Pawcatuck , Connecticut , on the Pawcatuck River , opposite Westerly , Rhode Island .	unambiguous_male	-
husband	( `` I certainly was not at the Dumont last night and my husband couldn't have been .	unambiguous_male	-
men	When it was first perceived, in early times, that no middle course for America remained between unlimited submission to a foreign legislature and a total independence of its claims, men of reflection were less apprehensive of danger from the formidable power of fleets and armies they must determine to resist than from those contests and dissensions which would certainly arise concerning the forms of government to be instituted over the whole and over the parts of this extensive country.	unambiguous_male	-
bishop	In the second and third chapters of Revelation the new version retains , however , the old phrase `` angel of the church '' which Biblical scholars have previously interpreted as meaning bishop .	ambiguous	m
men	They even accept the `` double standard '' of sex morality in a double sense , i.e. , both sexes agree that standards for men differ from standards for women , and women apply to both sexes a standard different from that held by men .	unambiguous_male	-
women	Here we stand, where 108 years ago, at another Inaugural, thousands of protesters tried to block brave women marching for the right to vote.	unambiguous_female	-
man	In man the normal level of iodine in the diet and the level necessary to prevent development of goitre is about 100 **ymg per day .	unambiguous_male	-
lord	The thing is determined, that is (laughing affectedly) as far as I can presume to determine any thing without the concurrence of my lord and master.	unambiguous_male	-
ma'am	"Pretty well, ma'am in the fifteen years of my marriage; though many women have done more.	unambiguous_female	-
narrator	"You don't seem," I said to the narrator, "to be very fond of the Exmoor pedigree."	ambiguous	neutral
lady	Where are you off to, lady?	unambiguous_female	-
maid	The treachery, or the folly, of my cousin's maid betrayed us.	unambiguous_female	-
boy	With the boy , particularly .	unambiguous_male	-
men	On the question of admission to Veterans Administration hospitals of service-connected and non-service-connected disabled veterans , it must be recognized that there are many men who are greatly affected by war service .	unambiguous_male	-
correspondent	If the reputation of our arms has been thrown under clouds on the other, presaging flashes of heroic enterprise assure us that nothing is wanting to correspondent triumphs there also but the discipline and habits which are in daily progress.	ambiguous	neutral
swimmer	Now, in calm weather, to swim in the open ocean is as easy to the practised swimmer as to ride in a spring-carriage ashore.	ambiguous	neutral
maid	At the home of a gourmet the new maid was instructed in the fine points of serving .	unambiguous_female	-
king	The patriots of 1776 did not fight to replace the tyranny of a king with the privileges of a few or the rule of a mob.	unambiguous_male	-
man	No Dartmouth man was surprised .	unambiguous_male	-
blade	Its blade was dazzling in the intense sunlight .	unambiguous_male	-
girl	One girl expressed what was obviously in their minds .	unambiguous_female	-
town	It came from town, and is merely a letter of business."	unambiguous_male	-
soldier	It confers a common dignity upon the French soldier who dies in Indo-China, the British soldier killed in Malaya, the American life given in Korea.	ambiguous	m
women	I think for example of three women's colleges with pitifully small enrollments , clustered within a few miles of a major Catholic university , which is also co-educational .	unambiguous_female	-
student	But in all its 175 years , not a single Negro student has entered its classrooms .	ambiguous	neutral
wife	`` Both children are musical and my wife is a music lover of unfailing instinct and judgement '' .	unambiguous_female	-
men	An interregnum ensues in which not men but ideas compete for existence .	unambiguous_male	-
women	"You may be right or wrong to risk dying," said the girl, simply; "the poor women in our village risk it whenever they have a baby.	unambiguous_female	-
mother	My mother bore me in the southern wild, And I am black, but oh my soul is white!	unambiguous_female	-
girl	The girl murmured harshly .	unambiguous_female	-
brother	If I don't come back in the house , Breed's going to '' -- `` Your trigger-happy brother isn't in the house .	unambiguous_male	-
man	The petition said that the couple has not lived together as man and wife for more than a year .	unambiguous_male	-
dancer	Investors breathed more freely when it was learned that this acrobatic dancer had turned magician and was only doing a best seller book to make some dough .	ambiguous	f
man	From it , spokes of order and degree led to the outward rim of the common man .	unambiguous_male	-
architect	After all , that's the job of the architect -- to give the world a little joy '' .	ambiguous	m
boy	But strength and poignancy develop thenceforth , and the windmill and deathbed episodes gather the threads of realization of the wonderfulness of the old boy .	unambiguous_male	-
gentlemen	These gentlemen are calling for a resumption of testing -- in the atmosphere -- on the greatest possible scale , all in the name of national security .	unambiguous_male	-
observer	To a casual observer our system presents no appearance of discord between the different members which compose it.	ambiguous	neutral
student	The modern student , who knows what was to come next , is likely to place first the factors of change which are visible in the eighth century .	ambiguous	neutral
grandfather	captain);--as I was saying, I jumped into Mounttop's boat, which, d'ye see, was gunwale and gunwale with mine, then; and snatching the first harpoon, let this old great-grandfather have it.	unambiguous_male	-
wife	My wife died in childbirth after I was sent away .	unambiguous_female	-
journalist	Such items recall the California journalist who reported an accident involving a movie star : `` The area in which Miss N -- was injured is spectacularly scenic '' .	ambiguous	neutral
gentlemen	The two gentlemen arrived the next day to a very late dinner, affording a pleasant enlargement of the party, and a very welcome variety to their conversation, which a long morning of the same continued rain had reduced very low.	unambiguous_male	-
man	A few minutes later the insurance man , a road checker , drove up in the gray coupe with license plates on it from a far-away state .	unambiguous_male	-
man	It began invariably in low tones , almost conversational , and then gradually worked up to high , shrill appeals to God and man .	unambiguous_male	-
queen	The children of the village, who look forward to this rural festival with joyful eagerness, usually meet on the last day of April to make up their nosegays for the morning and to choose their queen.	unambiguous_female	-
man	`` A learned man '' ? ?	unambiguous_male	-
women	We know it cannot die -- because it is built on the unhampered initiative of individual men and women joined together in a common enterprise -- an enterprise undertaken and carried through by the free expression of a free majority.	unambiguous_female	-
man	In one : a package of cigarettes and a tinplated lighter , both sticky from the man's bleeding .	unambiguous_male	-
men	When we see the steady and methodical inculcation into humanity of the idea of man's worthlessness -- until redeemed -- the necessity of the Devil may become evident as a weapon , a weapon designed and used time and time again in every age to whip men into a surrender to a particular church or church-state '' .	unambiguous_male	-
mother	`` My mother never wops me .	unambiguous_female	-
loon	The Zeitgeist is not crazy as a loon or mad as a March hare ; ; it is manic as a man '' .	unambiguous_male	-
son	My son , who has completed two years in engineering school , has a summer job on a construction project as an unskilled laborer .	unambiguous_male	-
mother	"That bear has cheated me out of that berry pie my mother promised me."	unambiguous_female	-
lady	we'll take care of the lady," said the red-faced young man, and went off into gurgling and almost senile laughter.	unambiguous_female	-
ladies	The hotel staff , as well as residents of the Excelsior , told us they saw that both ladies were bleeding from scratches as they were seen fleeing down the hall .	unambiguous_female	-
ladies	And you'll notice that in both places , there are acres of charming young ladies who with little effort spice up any chow line .	unambiguous_female	-
president	The railroad president made the statement in an interview as the Interstate Commerce Commission opened Round 2 of its hearing into the C & O's request to control and then merge with the B & Aj .	ambiguous	m
bride	Not to wait upon a bride is very remiss.	unambiguous_female	-
girl	It would be fine publicity for the man who was willing to walk to the mayor's throne over the broken reputation of a helpless girl ! !	unambiguous_female	-
woman	But in the middle of the last century an island woman named `` Karipo '' seized a spear in the heat of an inter-tribal battle and rallied the women after their men had fled .	unambiguous_female	-
man	Thus the image of man has suffered complete fragmentation in personal and spiritual qualities , and complete objectification in sub-human and quasi-mechanistic powers .	unambiguous_male	-
town	It is known that Morse did associate with a group of itinerant horse traders who made their headquarters at Westport , a town not far from Fall River .	unambiguous_male	-
widow	The first boat we read of, floated on an ocean, that with Portuguese vengeance had whelmed a whole world without leaving so much as a widow.	unambiguous_female	-
layman	Since little is known about autism , and almost nothing has been written for the layman , we'd like to share one experienced mother's comments .	unambiguous_male	-
student	A bond issue which would have provided some $3.5 million for construction of the two 900-student schools was defeated by district voters in January .	ambiguous	neutral
page	In the paragraphs that follow , we quote from 32 men who are identified on the final page .	unambiguous_male	-
ladies	Once there had been big glittering rooms where Ulanys bowed and kissed the ladies' hands as they flirted from behind their fans .	unambiguous_female	-
woman	I keep thinking of a young woman I knew during the Occupation in Austria .	unambiguous_female	-
observer	The artist , unlike the philosopher , is not a removed observer aiming at neutral and rarified high levels of abstraction .	ambiguous	neutral
women	Some women can sit and sew , crochet , tat or knit by the hour , and look calm and relaxed and turn out beautiful work .	unambiguous_female	-
women	`` You know I don't like my men to have other women .	unambiguous_female	-
novelist	Which is madder, the Russian priest who discourages righteous rebellion, or the Russian novelist who forbids it?	ambiguous	neutral
husband	I tried my hardest , with little help , may I say , from my husband and leading man , but somehow the outside pressures were too severe .	unambiguous_male	-
maid	"Did you see the ladies themselves, or was it only the housekeeper sent for you?" said the maid.	unambiguous_female	-
architect	An architect's sketch of the new plant is shown on the front cover .	ambiguous	m
clergyman	This dinner was the start of a new blatancy in the relationship between the gangs and the politicians , which , prior to 1924 , says Pasley , `` had been maintained with more or less stealth '' , but which henceforth was marked by these ostentatious gatherings , denounced by a clergyman as `` Belshazzar feasts '' , at which `` politicians fraternized cheek by jowl with gangsters , openly , in the big downtown hotels '' .	unambiguous_male	-
men	From the east to the west coast of the Korean peninsula was a strip of land in which fear-filled men were at that same moment furtively crawling through the night , sitting in sweaty anticipation of any movement or sound , or shouting amidst confused rifle flashes and muzzle blasts .	unambiguous_male	-
brother	Here's a letter just come by post for you, and I stepped over to you with it; because I guessed you'd be glad to have it, seeing it is your brother's handwriting."	unambiguous_male	-
father	A friend of my father's came to dinner .	unambiguous_male	-
chemist	Fetch stonecrop mixt with cedar and branches of lilac, This is the lexicographer, this the chemist, this made a grammar of the old cartouches, These mariners put the ship through dangerous unknown seas.	ambiguous	neutral
women	Radio broadcasts , however -- now that even plain people could afford `` loud speakers '' on their sets -- held old fans to the major-league races and attracted new ones , chiefly women , who through what the philosopher called the ineluctable modality of audition , became first inured , then attracted , then addicted to the long afternoon recitals of the doings in some distant baseball park .	unambiguous_female	-
mother	Is the mother of an `` autistic '' child at fault ? ?	unambiguous_female	-
student	A maximum of $600 per year per student would enable many to take training away from home .	ambiguous	neutral
dog	Some pig, or dog, or goat, or goose was for ever trespassing.	unambiguous_male	-
girl	In the lower portion of each Chart , the Skeletal Age ( Hand ) of boy 34 and girl 2 may be similarly classified .	unambiguous_female	-
student	An advanced student has read a considerable number of descriptions of consonantal systems , including some of the more unusual types .	ambiguous	neutral
