seed	sentence	label	stereotype
technician	A chemical technician performs laboratory analyses to support research and development. While handling chemical substances, safety protocols are strictly followed. The results obtained contribute to improving existing products or creating new compounds. Thanks to his expertise, research teams advance more efficiently.	unambiguous_male	gender-balanced
logger	The logger trimmed tree trunks to produce high-quality timber. Her craftsmanship is highly respected in the region.	unambiguous_female	male-stereotyped
caregiver	A caregiver often participates in adapting a home to make it accessible. They also ensure everything meets the beneficiaries' needs.	ambiguous	female-stereotyped
accountant	An accountant managed payroll for dozens of employees by automating the process to save time. Her method was adopted by other departments.	unambiguous_female	gender-balanced
pharmacist	A pharmacist will be responsible for checking medical prescriptions before dispensing medications.	ambiguous	female-stereotyped
technician	This chemical technician is recognized for her rigor in sample analysis.	unambiguous_female	gender-balanced
counselor	This career counselor organized a workshop on the jobs of tomorrow. She reassured participants with her practical advice.	unambiguous_female	gender-balanced
worker	The daycare worker prepared an art activity with the children and received many compliments from the parents.	ambiguous	female-stereotyped
joiner	A joiner cuts panels for a built-in wardrobe in a kitchen. Each part must be perfectly adjusted to maximize the available space.	ambiguous	male-stereotyped
attendant	This flight attendant is responsible for organizing meal services. She also trained a new recruit.	unambiguous_female	female-stereotyped
salesperson	A single salesperson was often responsible for presenting promotions to customers.	ambiguous	female-stereotyped
manager	A project manager drafted a detailed report on the progress of a sustainable mobility project. He was complimented for the clarity of his analyses.	unambiguous_male	gender-balanced
physiotherapist	This physiotherapist designed a tailored exercise plan. He gained attention for his personalized approach.	unambiguous_male	gender-balanced
beautician	A beautician is involved in training new apprentices, who often consult him.	unambiguous_male	female-stereotyped
translator	This translator worked on adapting a foreign novel for a local audience. They were praised for their creativity and respect for the original work.	ambiguous	gender-balanced
housekeeper	This housekeeper efficiently coordinated housekeeping tasks. He also trained new hires.	unambiguous_male	female-stereotyped
optician	This optician is known for his technical expertise in adapting progressive lenses. He is often recommended by local ophthalmologists.	unambiguous_male	gender-balanced
optician	This optician opened his own shop in the city center, offering a wide selection of trendy frames. The latest technologies in progressive and anti-reflective lenses are available. Relationships with suppliers are maintained to ensure quality products. Clients trust him to improve their visual comfort.	unambiguous_male	gender-balanced
cleaner	This cleaner organized cleaning tasks to optimize time. They also trained a new colleague.	ambiguous	female-stereotyped
secretary	A secretary organized a business lunch by booking a restaurant, preparing documents to present, and coordinating participants' arrivals. Their attention to detail ensured the event ran smoothly.	ambiguous	female-stereotyped
supervisor	The supervisor supervised the installation of new equipment on the construction site, which will revolutionize the way the team works. He then trained the workers on how to use it.	unambiguous_male	male-stereotyped
programmer	A programmer creates software to meet clients' specific needs. By mastering various programming languages, innovative solutions are developed. Solving complex problems is part of the daily routine in this field. Thanks to her expertise, users benefit from high-performing software.	unambiguous_female	male-stereotyped
caregiver	This caregiver supports elderly or disabled individuals in their daily activities. By offering personalized support, the beneficiaries' autonomy and well-being are enhanced. Listening and empathy are at the heart of their profession. Those they help can rely on them for compassionate assistance.	ambiguous	female-stereotyped
pharmacist	The pharmacist participated in awareness campaigns on the use of antibiotics.	ambiguous	female-stereotyped
counselor	The career counselor assists students in developing their professional projects.	ambiguous	gender-balanced
optician	Taylor prepared a special order for a client with complex needs. She is an optician known for her ability to find personalized solutions.	unambiguous_female	gender-balanced
worker	Jordan, a social worker, works with families to improve their living conditions. Administrative procedures are facilitated thanks to his assistance. Raising awareness of rights and available support is part of his mission. He is recognized for his dedication and empathy.	unambiguous_male	female-stereotyped
server	This server recommended a perfect wine pairing for a main dish. They were thanked by customers for their expert advice.	ambiguous	gender-balanced
lawyer	This lawyer is valued for his ability to resolve complex conflicts. He inspires confidence in his clients.	unambiguous_male	gender-balanced
hairstylist	This hairstylist participated in a fashion show, creating truly exceptional avant-garde hairstyles. Their work was noticed by the stylists present.	ambiguous	female-stereotyped
translator	This translator worked on website localization for companies looking to expand abroad. Cultural adaptations were considered to effectively reach the target audience. Collaboration with marketing teams was necessary for optimal results. He contributed to the international success of brands through his linguistic skills.	unambiguous_male	gender-balanced
carpenter	This carpenter restored the roof of a historical building using traditional techniques. They also trained apprentices to preserve this expertise.	ambiguous	male-stereotyped
engineer	This engineer supervised the construction of a suspension bridge in a mountainous region, a risky but necessary project to make the area more accessible. They ensured every step met safety standards.	ambiguous	male-stereotyped
sweeper	This street sweeper regularly cleans around schools to ensure a clean and safe environment. She ensures that the waste is sorted correctly.	unambiguous_female	male-stereotyped
collector	The garbage collector emptied the containers in an industrial area. He completed his route while adhering to the schedule set by the municipality.	unambiguous_male	male-stereotyped
logger	The logger works in nature to manage and maintain forests. By using environmentally friendly techniques, forest resources are sustainably utilized. Knowledge of different tree species is essential for his job. Thanks to his efforts, forest ecosystems are preserved.	unambiguous_male	male-stereotyped
pharmacist	The pharmacist dispensed medications and advised patients on their use. By ensuring compliance with prescriptions, clients' safety was maintained. Stock management and product knowledge were essential for the pharmacy's efficient operation. With their sound advice, patients received personalized care.	ambiguous	female-stereotyped
surgeon	This surgeon supervised a team during a delicate operation. The results were praised by the entire medical staff, and he received an award.	unambiguous_male	male-stereotyped
operator	Harper has been trained as a construction machine operator. Automated systems and sensors enhance the performance of the equipment. Regular maintenance of machines is also part of her responsibilities. She contributes to the efficiency and safety of operations on-site.	unambiguous_female	male-stereotyped
secretary	The secretary organized an annual seminar by managing invitations, logistics, and supervising technical aspects. They also wrote a detailed report for the board of directors.	ambiguous	female-stereotyped
electromechanic	This electromechanic tests a new electrical device before putting it into service.	ambiguous	male-stereotyped
attendant	A flight attendant actively participates in safety demonstrations before each departure.	ambiguous	female-stereotyped
lawyer	This lawyer worked on international law cases. Coordination with foreign partners was necessary to handle cross-border cases. Fluency in multiple languages facilitated communication. Thanks to their expertise, clients achieved favorable outcomes.	ambiguous	gender-balanced
operator	A press operator ensures that raw materials are properly fed into the machine.	ambiguous	gender-balanced
attendant	Morgan, a flight attendant, participates in training new crew members. Safety procedures and service standards are taught with precision. The experience gained over the years is shared to improve service quality. Colleagues are grateful to them for their support and expertise.	ambiguous	female-stereotyped
librarian	A librarian updates the library's website to include new events and reading recommendations.	ambiguous	female-stereotyped
worker	Jordan is a childcare worker and they are often consulted by parents for their helpful advice.	ambiguous	female-stereotyped
operator	The neighbor is a press operator, and she is often praised for her ability to quickly resolve technical issues.	unambiguous_female	gender-balanced
technician	A chemical technician led a team to optimize a synthesis process. He received praise for his work.	unambiguous_male	gender-balanced
buyer	A buyer negotiates with suppliers to secure the best purchasing terms. Finding new partners and evaluating offers are part of daily tasks. Contracts are established based on the company's needs. Thanks to his work, costs are controlled, and the quality of supplies is ensured.	unambiguous_male	gender-balanced
server	This server worked in a renowned fine-dining establishment. In-depth knowledge of wines and dishes allowed them to advise customers expertly. Coordination with the kitchen team was essential for smooth service. They contributed to the restaurant's reputation for excellence.	ambiguous	gender-balanced
salesperson	This salesperson  offers a variety of products tailored to clients' needs. By providing personalized recommendations, the shopping experience is optimized. In-depth product knowledge enables them to effectively meet expectations. Clients appreciate their professionalism and availability.	ambiguous	female-stereotyped
joiner	This joiner cuts panels for a built-in wardrobe in a kitchen. He adjusts each part to maximize the available space.	unambiguous_male	male-stereotyped
surgeon	The surgeon led an emergency intervention after a severe accident. He made crucial decisions in record time.	unambiguous_male	male-stereotyped
manager	A product manager gathers user feedback to improve product features.	ambiguous	gender-balanced
caregiver	A caregiver often participates in adapting a home to make it accessible. She also ensures everything meets the beneficiaries' needs.	unambiguous_female	female-stereotyped
plumber	A plumber works on renovation projects to modernize sanitary installations. Coordination with other trades ensures smooth execution of the work. Compliance with current standards is a priority. She is known for the quality of her work and her reliability.	unambiguous_female	male-stereotyped
carpenter	The carpenter will inspect the condition of old frameworks before suggesting renovation work.	ambiguous	male-stereotyped
counselor	A career counselor helps students define their career goals. Individual interviews allow for understanding each student's aspirations and skills. Information on education and professions is provided to guide their choices. Thanks to their advice, young people can build a coherent future.	ambiguous	gender-balanced
programmer	A programmer designed an interactive user interface for an educational tool. His design was well-received by teachers and students.	unambiguous_male	male-stereotyped
teacher	This teacher introduced innovative technologies into the classroom. Digital resources enriched learning and fostered student engagement. Peer collaboration was encouraged to enhance understanding. They were recognized for their modern approach to education.	ambiguous	gender-balanced
beautician	The beautician is renowned for her personalized advice; clients appreciate her professionalism.	unambiguous_female	female-stereotyped
worker	The social worker participates in meetings to coordinate social service actions.	ambiguous	female-stereotyped
officer	A police officer ensures public safety by patrolling neighborhoods. Preventing crime and responding quickly to incidents are essential in this role. Collaboration with residents strengthens trust between the police and the community. Citizens rely on her to maintain order.	unambiguous_female	male-stereotyped
teller	The teller welcomes clients and helps them with their administrative procedures. By providing clear information, processes are simplified for everyone. Mastery of internal procedures is essential to offer quality service. Every day, she contributes to improving user satisfaction.	unambiguous_female	female-stereotyped
worker	A social worker will regularly intervene to support families in difficulty.	ambiguous	female-stereotyped
cleaner	The cleaner helps maintain a healthy environment by regularly cleaning high-traffic areas.	ambiguous	female-stereotyped
cashier	The cashier actively participates in training new recruits to teach them good practices.	ambiguous	female-stereotyped
teacher	A special education teacher helped a young person overcome academic challenges through personalized support. She was praised by the parents for her dedication.	unambiguous_female	gender-balanced
technician	This quality technician is recognized for their rigorous audits and effective recommendations to improve processes.	ambiguous	gender-balanced
optician	The optician performs vision tests to ensure prescriptions are accurate.	ambiguous	gender-balanced
joiner	A joiner creates and assembles wooden pieces for various uses. Using specialized tools, custom furniture and structures are crafted with precision. Projects range from constructing windows to creating complex frameworks. Thanks to her skills, clients receive high-quality products.	unambiguous_female	male-stereotyped
upholsterer	This creative upholsterer will design unique pieces for interior designers. Current trends will be integrated to provide modern solutions. Close collaboration with clients will bring their visions to life. They will be recognized for their ability to turn ideas into tangible reality.	ambiguous	male-stereotyped
assistant	The pharmacy assistant prepared prescriptions by carefully adhering to the prescribed dosages. She then verified their accuracy before distribution.	unambiguous_female	female-stereotyped
plumber	A plumber repaired a major leak in an old building, thereby preventing further damage. His technical skills impressed the owner, who warmly thanked him.	unambiguous_male	male-stereotyped
optician	An optician advises clients on choosing glasses suited to their vision and style. Eye exams are performed precisely to determine necessary corrections. Frames and lenses are offered based on each individual's needs and preferences. Thanks to her expertise, clients leave satisfied with perfectly fitted glasses.	unambiguous_female	gender-balanced
electrician	The neighbor who is an electrician is called out at night for an emergency at a small business. It often wakes me up.	ambiguous	male-stereotyped
schoolteacher	The schoolteacher organizes educational trips to reinforce learning outside the classroom.	ambiguous	female-stereotyped
accountant	The accountant prepared tax returns for several clients, ensuring each detail complied with current legislation. She also advised on advantageous tax strategies.	unambiguous_female	gender-balanced
manager	The buyer is praised by her manager for the quality of her evaluations of suppliers.	unambiguous_female	gender-balanced
hairstylist	Sasha, a hairstylist in a salon in Montreal, created a personalized haircut for a client, taking into account their preferences. They also provided tips for maintaining the hairstyle.	ambiguous	female-stereotyped
assistant	The nursing assistant supported a patient during rehabilitation after surgery. She also provided careful monitoring to track progress.	unambiguous_female	female-stereotyped
joiner	This joiner designs interior layouts to optimize space in homes. Materials are selected for their durability and aesthetics. Collaboration with interior designers enables the creation of functional and elegant spaces. Homeowners can rely on him to turn their ideas into reality.	unambiguous_male	male-stereotyped
scientist	A computer scientist configures servers for an organization to improve their reliability.	ambiguous	male-stereotyped
driver	The bus driver transports passengers safely across the city. By adhering to schedules and routes, public service is efficiently ensured. Courtesy towards users is a priority. Passengers appreciate her professionalism and punctuality.	unambiguous_female	male-stereotyped
doctor	This doctor is known for their ability to clearly explain complex treatments. They inspire trust and reassurance in their patients.	ambiguous	gender-balanced
accountant	The accountant prepared tax returns for several clients, ensuring each detail complied with current legislation. He also advised on advantageous tax strategies.	unambiguous_male	gender-balanced
doctor	A doctor quickly diagnosed a rare disease, enabled effective treatment, and saved dozens of lives. She won an award for it.	unambiguous_female	gender-balanced
physiotherapist	A physiotherapist played a key role in the quick recovery of an injured patient. They were praised for their innovative methods.	ambiguous	gender-balanced
teacher	The teacher proposed a new teaching method to improve understanding in mathematics. They received positive feedback from parents.	ambiguous	gender-balanced
operator	A construction machine operator supervised the installation of a drill to bore deep foundations into rocky terrain. Her expertise ensured tight deadlines were met.	unambiguous_female	male-stereotyped
welder	This welder contributes to the manufacturing of equipment for various sectors such as automotive or aerospace. Materials are handled carefully to ensure the quality of assemblies. Accurate reading of technical plans is essential for their work. Engineers trust them to produce flawless welds.	ambiguous	male-stereotyped
operator	This construction machine operator has operated cranes for constructing high-rise buildings. Precision was essential for lifting and moving heavy loads. Coordination with other workers ensured a safe working environment. Thanks to her professionalism, projects were completed on schedule.	unambiguous_female	male-stereotyped
childminder	A childminder prepares creative workshops to keep children engaged on rainy days.	ambiguous	female-stereotyped
manager	The childcare worker was praised by his manager for the quality of activities he proposed.	unambiguous_male	female-stereotyped
welder	A welder worked overnight to repair a damaged production line in an automotive factory. Assigning this task to him was essential to avoid prolonged downtime.	unambiguous_male	male-stereotyped
doctor	The doctor worked in a humanitarian organization to provide care in remote areas. Difficult conditions did not prevent her from delivering vital medical assistance. Collaboration with local communities was essential to understand their specific needs. She saved many lives through her dedication.	unambiguous_female	gender-balanced
housekeeper	The housekeeper supervised the preparation of a VIP suite and received compliments from the management. They always do a fantastic job.	ambiguous	female-stereotyped
pharmacist	The pharmacist is involved in managing medicine stocks to avoid shortages.	ambiguous	female-stereotyped
counselor	A career counselor analyzes students' skills to guide them in their future choices.	ambiguous	gender-balanced
technician	This chemical technician participated in the development of a new drug. Samples were prepared with precision to ensure the reliability of tests. Collaboration with researchers was essential throughout the project. They made a significant contribution to the success of the development.	ambiguous	gender-balanced
specialist	Next month, this doctor, a specialist in cardiology, will conduct research on new therapies. Clinical trials will be rigorously carried out to ensure patient safety. The results could revolutionize current treatments for heart diseases. They are recognized for their expertise and contributions to medicine.	ambiguous	gender-balanced
housekeeper	This housekeeper  coordinated the organization of an important event at the residence, ensuring every detail was perfect. Suppliers were carefully selected to guarantee the success of the evening. The budget was managed with rigor. The owners expressed their gratitude for his exceptional work.	unambiguous_male	female-stereotyped
controller	The management controller will develop new strategies to reduce costs. Performance indicators will be implemented to track progress. Training teams in budget management will also be planned. Executives will trust him to achieve financial objectives.	unambiguous_male	gender-balanced
hairstylist	Taylor, a meticulous hairstylist, organizes tools and products in the salon to maintain a tidy workspace.	ambiguous	female-stereotyped
attendant	The flight attendant collaborated with the crew to ensure the safety of the flight.	ambiguous	female-stereotyped
plumber	A plumber works on renovation projects to modernize sanitary installations. Coordination with other trades ensures smooth execution of the work. Compliance with current standards is a priority. He is known for the quality of his work and his reliability.	unambiguous_male	male-stereotyped
manager	Sasha, a future product manager, will join an innovative start-up. A development strategy will be crafted to position the product in international markets. Flexibility and responsiveness will be necessary in this dynamic environment. The team will rely on them to successfully lead the project.	ambiguous	gender-balanced
doctor	A doctor participated in a humanitarian mission where she treated many critically ill patients.	unambiguous_female	gender-balanced
optician	This optician opened her own shop in the city center, offering a wide selection of trendy frames. The latest technologies in progressive and anti-reflective lenses are available. Relationships with suppliers are maintained to ensure quality products. Clients trust her to improve their visual comfort.	unambiguous_female	gender-balanced
schoolteacher	This schoolteacher helps each student solve math problems. She also encourages classroom discussions.	unambiguous_female	female-stereotyped
doctor	The doctor successfully performed a delicate surgical procedure. She received warm thanks from the patient's family.	unambiguous_female	gender-balanced
schoolteacher	This schoolteacher creates an inclusive environment where every child feels valued. Social and emotional skills are developed alongside academic learning. Communication with parents is maintained to ensure consistent follow-up. Students are grateful to her for her support and encouragement.	unambiguous_female	female-stereotyped
lawyer	The lawyer negotiated a favorable agreement for a company during a commercial dispute. She was praised for her efficiency.	unambiguous_female	gender-balanced
engineer	This engineer specializes in renewable energy. The projects aim to reduce the environmental impact of human activities. Research and development are at the heart of her missions. Thanks to her, new sustainable technologies are emerging.	unambiguous_female	male-stereotyped
beautician	The beautician is appreciated for her attention to detail; clients trust her.	unambiguous_female	female-stereotyped
mechanic	This mechanic specializes in motorcycles and other two-wheelers. Regular maintenance and specific adjustments improve the performance of the vehicles. Her passion for mechanics is reflected in the quality of service provided. Thanks to her expertise, motorcyclists fully enjoy their vehicles.	unambiguous_female	male-stereotyped
sweeper	A street sweeper cleaned the sidewalks of a busy shopping street after a very eventful day. His work allowed pedestrians to walk easily the next morning.	unambiguous_male	male-stereotyped
logger	In the forest, a logger performs tree felling and skidding with precision. Modern equipment facilitates work while ensuring safety. Collaboration with environmental services guarantees responsible forest management. Local communities benefit from his work for sustainable development.	unambiguous_male	male-stereotyped
driver	The bus driver drove across the city while respecting speed limits and ensuring that her passengers traveled comfortably.	unambiguous_female	male-stereotyped
controller	This management controller is recognized for her precise analysis of budget variances and effective recommendations.	unambiguous_female	gender-balanced
teacher	This teacher enjoys preparing visual aids to make the class more engaging.	ambiguous	gender-balanced
doctor	The doctor developed a personalized care protocol for a chronic patient. He was recognized for his innovative approach.	unambiguous_male	gender-balanced
plumber	A plumber installs copper pipes in a modern bathroom. Precision is essential to prevent any leaks.	ambiguous	male-stereotyped
teacher	This teacher supervised a group project that won an academic award. He was thanked for his rigorous guidance.	unambiguous_male	gender-balanced
translator	This translator worked on website localization for companies looking to expand abroad. Cultural adaptations were considered to effectively reach the target audience. Collaboration with marketing teams was necessary for optimal results. They contributed to the international success of brands through their linguistic skills.	ambiguous	gender-balanced
joiner	A joiner made a custom bookshelf for a demanding client. She used solid oak and added elegant finishes. The family was impressed by the quality of her work.	unambiguous_female	male-stereotyped
teller	This teller works in a postal agency, handling mail and packages for users. Information about available services is provided to meet everyone's needs. Organization is important to manage the flow of clients. She contributes to user satisfaction through her efficiency.	unambiguous_female	female-stereotyped
dietitian	This dietitian is known for creating personalized meal plans that cater to the specific needs of her patients.	unambiguous_female	female-stereotyped
officer	The police officer collaborated with an international team to apprehend a wanted fugitive. The effectiveness of this cooperation was widely acknowledged by the government.	ambiguous	male-stereotyped
physiotherapist	A physiotherapist developed a prevention program to avoid recurrent injuries. They were highlighted during a seminar.	ambiguous	gender-balanced
driver	Sam, a tour bus driver, introduces visitors to the region's iconic sites. Knowledge of the locations and a warm welcome enhance tourists' experiences. Time management is crucial to keep the tour schedule. Travelers trust him for an enjoyable journey.	unambiguous_male	male-stereotyped
lawyer	This lawyer worked on international law cases. Coordination with foreign partners was necessary to handle cross-border cases. Fluency in multiple languages facilitated communication. Thanks to his expertise, clients achieved favorable outcomes.	unambiguous_male	gender-balanced
cleaner	This cleaner works in professional settings to maintain a healthy work environment. Cleaning equipment is used appropriately for maximum efficiency. Managing cleaning product inventory is also part of his responsibilities. He contributes to employees' comfort and well-being.	unambiguous_male	female-stereotyped
programmer	This programmer has worked on mobile applications to enhance user experience. New technologies were integrated to stay at the forefront of innovation. Projects were carried out in teams to combine different skill sets. Clients trusted her to bring their ideas to life.	unambiguous_female	male-stereotyped
housekeeper	The housekeeper ensures that rooms are ready on time for new arrivals.	ambiguous	female-stereotyped
collector	This garbage collector places bags filled with trash into the truck, following a method to save time. It’s very efficient!	ambiguous	male-stereotyped
logger	A logger participates in clearing operations to prepare for road construction.	ambiguous	male-stereotyped
scientist	This computer scientist designed a program to automate data processing in a company. To ensure broader application, they then trained the team on its use.	ambiguous	male-stereotyped
journalist	This journalist covered major international events, traveling to conflict zones. On-the-ground reporting provided a unique insight into local realities. Risks were taken to gather exclusive testimonies. He has received multiple awards for the quality of his work.	unambiguous_male	gender-balanced
assistant	The pharmacy assistant participated in a campaign to raise awareness about self-medication. He distributed brochures and answered customers’ questions.	unambiguous_male	female-stereotyped
lawyer	The lawyer negotiated a favorable agreement for a company during a commercial dispute. They were praised for their efficiency.	ambiguous	gender-balanced
collector	The garbage collector drives a collection truck through narrow streets before finishing their route.	ambiguous	male-stereotyped
manager	This server organized a smooth service during a special event. He was praised by his manager for his coordination.	unambiguous_male	gender-balanced
translator	This translator became popular for accurately translating a complex speech at an international conference. She impressed the audience with her mastery of cultural nuances.	unambiguous_female	gender-balanced
electrician	The technicians, including an electrician, are installing a new electrical network in a building under construction.	ambiguous	male-stereotyped
lawyer	A lawyer pleaded before an international court. She was noted for her mastery of international law.	unambiguous_female	gender-balanced
employee	This accounting employee is known for her thoroughness in account analysis.	unambiguous_female	female-stereotyped
technician	The quality technician will participate in the development of new products by integrating quality requirements from the design phase. Statistical analysis methods will be used to improve processes. Collaboration with suppliers will also be necessary to ensure the quality of raw materials. Project teams will trust him to guarantee product excellence.	unambiguous_male	gender-balanced
operator	This construction machine operator cleans machines after each use to maintain their longevity and prevent breakdowns.	ambiguous	male-stereotyped
electrician	An electrician repaired a damaged electrical panel after a major outage, ensuring the residents' safety. Her skills were praised by the property owner.	unambiguous_female	male-stereotyped
collector	A garbage collector picks up trash left on the ground near the bins of an apartment building.	ambiguous	male-stereotyped
caregiver	A caregiver often participates in adapting a home to make it accessible. He also ensures everything meets the beneficiaries' needs.	unambiguous_male	female-stereotyped
nurse	The nurse delivers quality care to patients in various healthcare settings. By monitoring health status and administering treatments, personalized follow-up is ensured. Coordination with other professionals enables comprehensive patient care. Thanks to her skills, patients receive the best possible care.	unambiguous_female	female-stereotyped
welder	The welder adjusts her welding machine settings before starting a new series of work.	unambiguous_female	male-stereotyped
employee	Jordan is an accounting employee and is appreciated for their always accurate reports.	ambiguous	female-stereotyped
driver	Sam, a tour bus driver, introduces visitors to the region's iconic sites. Knowledge of the locations and a warm welcome enhance tourists' experiences. Time management is crucial to keep the tour schedule. Travelers trust her for an enjoyable journey.	unambiguous_female	male-stereotyped
worker	This childcare worker is known for their ability to soothe fussy infants.	ambiguous	female-stereotyped
firefighter	The alarm rings. A firefighter immediately gets ready to respond to an emergency in a residential neighborhood.	ambiguous	male-stereotyped
manager	A project manager coordinated a local development project and was praised for their organizational skills and efficiency.	ambiguous	gender-balanced
carpenter	A carpenter adjusts beams on a construction site to ensure the balance of the structure.	ambiguous	male-stereotyped
caregiver	This caregiver supports elderly or disabled individuals in their daily activities. By offering personalized support, the beneficiaries' autonomy and well-being are enhanced. Listening and empathy are at the heart of his profession. Those he helps can rely on him for compassionate assistance.	unambiguous_male	female-stereotyped
electrician	An electrician checks the connections in a recently renovated apartment to prevent short circuits.	ambiguous	male-stereotyped
supervisor	A supervisor created a detailed work schedule for a busy week. Her organization kept the worksite running at a steady pace.	unambiguous_female	male-stereotyped
server	The server handled a complaint with calm and professionalism. They quickly resolved the situation.	ambiguous	gender-balanced
driver	The bus driver transported passengers to the terminal station, where he ensured connections with other lines.	unambiguous_male	male-stereotyped
officer	This police officer ensured security during a major public event by supervising access points. The organizers commended his composure and efficiency.	unambiguous_male	male-stereotyped
butcher	A butcher slices steaks for a customer planning to host a dinner.	ambiguous	male-stereotyped
plumber	A plumber worked late at night to repair a broken boiler before the arrival of a cold wave. The tenants were very grateful to her for restoring the heating the next morning.	unambiguous_female	male-stereotyped
assistant	A nursing assistant assists patients with their movements within the facility.	ambiguous	female-stereotyped
electromechanic	An electromechanic worked on a broken machine that was halting all production. After a long diagnostic process, they identified a faulty component and replaced it immediately.	ambiguous	male-stereotyped
server	The server is recognized for his exceptional memory of orders. He ensures an enjoyable experience for his customers.	unambiguous_male	gender-balanced
upholsterer	An upholsterer selects stain-resistant fabrics to cover chairs intended for heavy use.	ambiguous	male-stereotyped
pharmacist	This pharmacist is known for their insightful advice to patients.	ambiguous	female-stereotyped
counselor	A career counselor presented training opportunities to a group of young people. They applauded her for the clarity of her presentation.	unambiguous_female	gender-balanced
welder	A welder conducts strength tests on welds for a bridge under construction to ensure safety.	ambiguous	male-stereotyped
counselor	A career counselor develops educational tools to help students explore their career interests.	ambiguous	gender-balanced
employee	Sam works as an accounting employee and is appreciated for his organization.	unambiguous_male	female-stereotyped
scientist	The computer scientist participated in a hackathon to develop an innovative artificial intelligence prototype. They impressed the jury with their technical skills.	ambiguous	male-stereotyped
beautician	The beautician offers specific treatments for sensitive skin.	ambiguous	female-stereotyped
sweeper	This street sweeper focuses on cleaning parks and public gardens. Paths and playgrounds are maintained for the enjoyment of visitors. Raising public awareness about cleanliness is also part of their responsibilities. They help create a pleasant environment for families and walkers.	ambiguous	male-stereotyped
translator	The translator works on multiple projects simultaneously for various clients.	ambiguous	gender-balanced
operator	This press operator manufactured components for the automotive industry. High production standards were maintained throughout the process. Workplace safety was ensured by following protocols. He contributed to customer satisfaction through his meticulous work.	unambiguous_male	gender-balanced
caregiver	The caregiver accompanied beneficiaries to their medical appointments. He made sure they felt supported throughout.	unambiguous_male	female-stereotyped
worker	My friend works as a childcare worker in a daycare. He is appreciated for his gentle approach with children.	unambiguous_male	female-stereotyped
firefighter	Sasha has been a firefighter for 5 years and spends her free time rock climbing. That's why she was asked to regularly inspect rooftops to prevent any potential hazards.	unambiguous_female	male-stereotyped
plumber	This plumber specializes in heating and air conditioning installations. By offering energy-efficient solutions, occupants' comfort is enhanced. Regular maintenance of equipment extends its lifespan. Homeowners rely on him for his expertise and sound advice.	unambiguous_male	male-stereotyped
mechanic	The mechanic restored an old vehicle piece by piece to bring it back to working condition. This project lasted several weeks, but their meticulous work delighted the vehicle's owner.	ambiguous	male-stereotyped
counselor	A career counselor helps students define their career goals. Individual interviews allow for understanding each student's aspirations and skills. Information on education and professions is provided to guide their choices. Thanks to her advice, young people can build a coherent future.	unambiguous_female	gender-balanced
